没有电话	快递放没有人知息化地方 也没有电话告知 快递太差
很不错衣服 材质	很不错的衣服 材质很好 夏天穿很凉爽 微弹的布质 柔软的衣服 班尼路的真不错 买了一堆了 这是其中的一件 纯棉的 穿起来非常舒服 这下子这个夏天就有的穿了
体重 	我的身高体重 身高 体重 尺码很合适 活动时候买的 一次买了三条 每个款式各一条 穿着舒服 推荐购买 京东值得推荐 以后买东西就选这
全棉 	是否舒适 贴合皮肤大小合适 尺码大小 穿着非常的舒服 特别大 也没有特别小 刚好合适 材质 全棉 穿着非常凉爽 版型 瘦身型 各种身体体型都可以穿 我也比较喜欢 洗了一次也没有褪色 做工是非常好的 快递也非常的快 你下单第二天就到了
起码大	尺码大小 很肥 很大 裤腿起码大了两个号 而且很长    面料倒是挺舒服的 只能自己拿去改了
面料倒	尺码大小 很肥 很大 裤腿起码大了两个号 而且很长    面料倒是挺舒服的 只能自己拿去改了
大家做	老公身高 体重斤穿码很合身 属于修身款很贴身 给大家做个参考 纯棉的质地很厚实 贴身非常舒适 我是机洗过两次才来评价的 不变形不变形不变形 犹豫的亲可以放心购买 京东物流很赞 第一天下单第二天就到了
质地很厚实	老公身高 体重斤穿码很合身 属于修身款很贴身 给大家做个参考 纯棉的质地很厚实 贴身非常舒适 我是机洗过两次才来评价的 不变形不变形不变形 犹豫的亲可以放心购买 京东物流很赞 第一天下单第二天就到了
变形 	老公身高 体重斤穿码很合身 属于修身款很贴身 给大家做个参考 纯棉的质地很厚实 贴身非常舒适 我是机洗过两次才来评价的 不变形不变形不变形 犹豫的亲可以放心购买 京东物流很赞 第一天下单第二天就到了
物流很赞	老公身高 体重斤穿码很合身 属于修身款很贴身 给大家做个参考 纯棉的质地很厚实 贴身非常舒适 我是机洗过两次才来评价的 不变形不变形不变形 犹豫的亲可以放心购买 京东物流很赞 第一天下单第二天就到了
挺薄 穿着很	挺薄的 穿着很舒服的
商品 	物美价廉的一款恤 比超市买的便宜 信任京东自营的商品 质量很好 服务态度也很好 物流也很快 纯棉面料 夏天穿着舒服 吸汗
质量很好	物美价廉的一款恤 比超市买的便宜 信任京东自营的商品 质量很好 服务态度也很好 物流也很快 纯棉面料 夏天穿着舒服 吸汗
服务态度很好	物美价廉的一款恤 比超市买的便宜 信任京东自营的商品 质量很好 服务态度也很好 物流也很快 纯棉面料 夏天穿着舒服 吸汗
物流很快 	物美价廉的一款恤 比超市买的便宜 信任京东自营的商品 质量很好 服务态度也很好 物流也很快 纯棉面料 夏天穿着舒服 吸汗
面料 	物美价廉的一款恤 比超市买的便宜 信任京东自营的商品 质量很好 服务态度也很好 物流也很快 纯棉面料 夏天穿着舒服 吸汗
  面料	我的身高体重 身高 米 体重斤尺码大小 码  面料类型 全棉材质 除领口是弹性非全棉外面料质感 质感很薄透气性 透气性很好试穿效果 效果尚可 衣长够长 袖长显短些
领口是	我的身高体重 身高 米 体重斤尺码大小 码  面料类型 全棉材质 除领口是弹性非全棉外面料质感 质感很薄透气性 透气性很好试穿效果 效果尚可 衣长够长 袖长显短些
料质感	我的身高体重 身高 米 体重斤尺码大小 码  面料类型 全棉材质 除领口是弹性非全棉外面料质感 质感很薄透气性 透气性很好试穿效果 效果尚可 衣长够长 袖长显短些
质感很薄	我的身高体重 身高 米 体重斤尺码大小 码  面料类型 全棉材质 除领口是弹性非全棉外面料质感 质感很薄透气性 透气性很好试穿效果 效果尚可 衣长够长 袖长显短些
透气性 	我的身高体重 身高 米 体重斤尺码大小 码  面料类型 全棉材质 除领口是弹性非全棉外面料质感 质感很薄透气性 透气性很好试穿效果 效果尚可 衣长够长 袖长显短些
透气性很好	我的身高体重 身高 米 体重斤尺码大小 码  面料类型 全棉材质 除领口是弹性非全棉外面料质感 质感很薄透气性 透气性很好试穿效果 效果尚可 衣长够长 袖长显短些
质量很差	商家卖货玩文字游戏 别买 质量也很差 薄薄一层
有点厚	有点厚 有点大 价格写实际要
有点大	有点厚 有点大 价格写实际要
价格写	有点厚 有点大 价格写实际要
真不真不知道 反正	真不真不知道 反正掉毛毛
如果没看错 下单	如果我没看错 我下单买的两件衣服应该都是纯棉的 难道打折是从这里面折出来的吗
每年都 物美价廉	每年都买几件 物美价廉
码数合适	常购单品 非常好穿 用来居家或者便装都非常舒服 码数也合适 方便 各种颜色都买齐了 集齐七龙珠了 可以召唤神龙了 棉质的
很好 第二次 	很好 第二次买了 穿上很合身 很舒适 还会再买的
柔软程度	尺码大小 尺码很合适 柔软程度 挺有弹性的 可以 上身效果 挺瘦身的 看起来很有运动感
有弹性	尺码大小 尺码很合适 柔软程度 挺有弹性的 可以 上身效果 挺瘦身的 看起来很有运动感
合适质量	衣服大小合适质量很好 价格便宜 非常满意
价格便宜 	衣服大小合适质量很好 价格便宜 非常满意
没有味道	衣服是纯棉材质的 没有味道 做工精细 没有线头 一直买的就是班尼路 如今购买却还有着怀旧 京东活动时候打折购入的 价格便宜 性价比高 物有所值 京东物流赞一个 次日达真的很快 晚上下单早上就到了 只有京东一如既往
没有线头	衣服是纯棉材质的 没有味道 做工精细 没有线头 一直买的就是班尼路 如今购买却还有着怀旧 京东活动时候打折购入的 价格便宜 性价比高 物有所值 京东物流赞一个 次日达真的很快 晚上下单早上就到了 只有京东一如既往
价格便宜 	衣服是纯棉材质的 没有味道 做工精细 没有线头 一直买的就是班尼路 如今购买却还有着怀旧 京东活动时候打折购入的 价格便宜 性价比高 物有所值 京东物流赞一个 次日达真的很快 晚上下单早上就到了 只有京东一如既往
性价比高	衣服是纯棉材质的 没有味道 做工精细 没有线头 一直买的就是班尼路 如今购买却还有着怀旧 京东活动时候打折购入的 价格便宜 性价比高 物有所值 京东物流赞一个 次日达真的很快 晚上下单早上就到了 只有京东一如既往
物流赞	衣服是纯棉材质的 没有味道 做工精细 没有线头 一直买的就是班尼路 如今购买却还有着怀旧 京东活动时候打折购入的 价格便宜 性价比高 物有所值 京东物流赞一个 次日达真的很快 晚上下单早上就到了 只有京东一如既往
质感 	面料质感 柔软舒适 尺码大小 码数非常准确 透气性 亲肤透气的纯棉
码数非常准确	面料质感 柔软舒适 尺码大小 码数非常准确 透气性 亲肤透气的纯棉
透气性 	面料质感 柔软舒适 尺码大小 码数非常准确 透气性 亲肤透气的纯棉
这码 是不是段码 	这码 是不是段码 比还宽
  胶水	帖胶条  胶水怎么洗 换货又没货 只好当抹布用
商家发错	商家发错货了 和客服说 客服一味的推脱 不给换 大家千万不要买这家店的东西 免得给自己添麻烦 这家店太不靠谱了
客服 	商家发错货了 和客服说 客服一味的推脱 不给换 大家千万不要买这家店的东西 免得给自己添麻烦 这家店太不靠谱了
凉爽透气	穿上很舒服 凉爽透气
身高体重	我的身高体重 我的身高和体重属于适中水平尺码大小 根据自己的实力身形去选择适合的 面料类型 面料是棉的 穿起来非常的舒服面料质感 质感很不错 摸起来很舒服 不会皮肤过敏 洗几次也没有变形透气性 透气性可以 吸汗试穿效果 衣服穿起来刚好合适 快递也非常的快 当天下单第二天就到了
身形去	我的身高体重 我的身高和体重属于适中水平尺码大小 根据自己的实力身形去选择适合的 面料类型 面料是棉的 穿起来非常的舒服面料质感 质感很不错 摸起来很舒服 不会皮肤过敏 洗几次也没有变形透气性 透气性可以 吸汗试穿效果 衣服穿起来刚好合适 快递也非常的快 当天下单第二天就到了
面料是	我的身高体重 我的身高和体重属于适中水平尺码大小 根据自己的实力身形去选择适合的 面料类型 面料是棉的 穿起来非常的舒服面料质感 质感很不错 摸起来很舒服 不会皮肤过敏 洗几次也没有变形透气性 透气性可以 吸汗试穿效果 衣服穿起来刚好合适 快递也非常的快 当天下单第二天就到了
舒服面料	我的身高体重 我的身高和体重属于适中水平尺码大小 根据自己的实力身形去选择适合的 面料类型 面料是棉的 穿起来非常的舒服面料质感 质感很不错 摸起来很舒服 不会皮肤过敏 洗几次也没有变形透气性 透气性可以 吸汗试穿效果 衣服穿起来刚好合适 快递也非常的快 当天下单第二天就到了
质感 	我的身高体重 我的身高和体重属于适中水平尺码大小 根据自己的实力身形去选择适合的 面料类型 面料是棉的 穿起来非常的舒服面料质感 质感很不错 摸起来很舒服 不会皮肤过敏 洗几次也没有变形透气性 透气性可以 吸汗试穿效果 衣服穿起来刚好合适 快递也非常的快 当天下单第二天就到了
质感很不错	我的身高体重 我的身高和体重属于适中水平尺码大小 根据自己的实力身形去选择适合的 面料类型 面料是棉的 穿起来非常的舒服面料质感 质感很不错 摸起来很舒服 不会皮肤过敏 洗几次也没有变形透气性 透气性可以 吸汗试穿效果 衣服穿起来刚好合适 快递也非常的快 当天下单第二天就到了
没有变形	我的身高体重 我的身高和体重属于适中水平尺码大小 根据自己的实力身形去选择适合的 面料类型 面料是棉的 穿起来非常的舒服面料质感 质感很不错 摸起来很舒服 不会皮肤过敏 洗几次也没有变形透气性 透气性可以 吸汗试穿效果 衣服穿起来刚好合适 快递也非常的快 当天下单第二天就到了
透气性 	我的身高体重 我的身高和体重属于适中水平尺码大小 根据自己的实力身形去选择适合的 面料类型 面料是棉的 穿起来非常的舒服面料质感 质感很不错 摸起来很舒服 不会皮肤过敏 洗几次也没有变形透气性 透气性可以 吸汗试穿效果 衣服穿起来刚好合适 快递也非常的快 当天下单第二天就到了
透气性 	我的身高体重 我的身高和体重属于适中水平尺码大小 根据自己的实力身形去选择适合的 面料类型 面料是棉的 穿起来非常的舒服面料质感 质感很不错 摸起来很舒服 不会皮肤过敏 洗几次也没有变形透气性 透气性可以 吸汗试穿效果 衣服穿起来刚好合适 快递也非常的快 当天下单第二天就到了
款式 	衣服款式还可以 质地不咋样太单薄纱太少
总穿这家衣服 纯棉	总穿这家的衣服 纯棉的 穿着很舒服
质量太薄	衣服质量太薄 不值得购买
牌子 	是否舒适 摸起来很舒服 我老公一直穿这个牌子的 回购弹性大小 有弹性
回购弹性	是否舒适 摸起来很舒服 我老公一直穿这个牌子的 回购弹性大小 有弹性
有弹性	是否舒适 摸起来很舒服 我老公一直穿这个牌子的 回购弹性大小 有弹性
三次质量很好很	买了三次了质量很好很耐穿很耐穿相信我的话可以
洗时候掉色 哎	洗的时候会掉色 哎
很大味道	一般般新衣服有很大的味道
质地比较柔软	不错不错 已经是多次购买了 去年也买了很多 还帮同事也买了 这款比较简单百搭 质地比较柔软 性价比很高 穿起来很舒适 平均下来 一件不到 穿一个季度也值了 下一年再换新的就可以了 哈哈哈 挺好的 满意
性价比很高	不错不错 已经是多次购买了 去年也买了很多 还帮同事也买了 这款比较简单百搭 质地比较柔软 性价比很高 穿起来很舒适 平均下来 一件不到 穿一个季度也值了 下一年再换新的就可以了 哈哈哈 挺好的 满意
近期折加用劵比买免便宜	近期折加用劵比买免便宜 哎不说了 准备买的最好等 吧
见过缩水 没见过	见过缩水的 没见过这么缩水的
有点薄	还行吧 越接近双 越低 简直了 衣服有点薄了 薄薄薄薄薄薄薄薄薄薄
一般般的 要求不高真	一般般的 要求不高真挺可以购买的
价格便宜 	不错 价格便宜 质量只能是这样
质量是	不错 价格便宜 质量只能是这样
不点星星能评价	不点星星能评价吗
质量雨衣差不多	质量和雨衣差不多
第次购买 真心	第次购买 真心的实惠 标准身材按标准尺码购买就行了
质量很好	价格实惠 质量也很好 我就喜欢这样素素的 没有狐狸花哨图案的衣服 好评
清凉透气	实在是不错 优惠很给力 质量跟实体店买的差不多 穿着也很舒服 这款比较薄的 但不透 厦天穿上街也不会很热 清凉透气 薄点出了汗也会干得快点
衣服真心薄 难怪	衣服真心薄 难怪走下坡路
吸汗透气	我的身高体重 不告诉别人 尺码大小 自己能看见 服装标注尺寸很准确 面料类型 很软和 舒服啊 而且吸汗透气 面料质感 没多少形容词 就是一个词 舒服 柔软舒适 透气性 很透气 干的也快 试穿效果 正合身 很舒服 不勒不紧 就像贴身裁剪似的 而且价格也不贵 很实惠
质感 	我的身高体重 不告诉别人 尺码大小 自己能看见 服装标注尺寸很准确 面料类型 很软和 舒服啊 而且吸汗透气 面料质感 没多少形容词 就是一个词 舒服 柔软舒适 透气性 很透气 干的也快 试穿效果 正合身 很舒服 不勒不紧 就像贴身裁剪似的 而且价格也不贵 很实惠
透气性 	我的身高体重 不告诉别人 尺码大小 自己能看见 服装标注尺寸很准确 面料类型 很软和 舒服啊 而且吸汗透气 面料质感 没多少形容词 就是一个词 舒服 柔软舒适 透气性 很透气 干的也快 试穿效果 正合身 很舒服 不勒不紧 就像贴身裁剪似的 而且价格也不贵 很实惠
透气 	我的身高体重 不告诉别人 尺码大小 自己能看见 服装标注尺寸很准确 面料类型 很软和 舒服啊 而且吸汗透气 面料质感 没多少形容词 就是一个词 舒服 柔软舒适 透气性 很透气 干的也快 试穿效果 正合身 很舒服 不勒不紧 就像贴身裁剪似的 而且价格也不贵 很实惠
价格不贵 	我的身高体重 不告诉别人 尺码大小 自己能看见 服装标注尺寸很准确 面料类型 很软和 舒服啊 而且吸汗透气 面料质感 没多少形容词 就是一个词 舒服 柔软舒适 透气性 很透气 干的也快 试穿效果 正合身 很舒服 不勒不紧 就像贴身裁剪似的 而且价格也不贵 很实惠
价格便宜 	总的来说这一款非常不错 价格便宜 面料类型是纯棉的 百分百纯棉 面料质感的话 摸起来挺舒服的 透气性整体上挺好 夏天穿一点也不热 四川效果的话 上升很合身 而且穿起来也很有型 尺码大小 是正常的 总体来说性价比非常高
正常 总体	总的来说这一款非常不错 价格便宜 面料类型是纯棉的 百分百纯棉 面料质感的话 摸起来挺舒服的 透气性整体上挺好 夏天穿一点也不热 四川效果的话 上升很合身 而且穿起来也很有型 尺码大小 是正常的 总体来说性价比非常高
性价比非常高	总的来说这一款非常不错 价格便宜 面料类型是纯棉的 百分百纯棉 面料质感的话 摸起来挺舒服的 透气性整体上挺好 夏天穿一点也不热 四川效果的话 上升很合身 而且穿起来也很有型 尺码大小 是正常的 总体来说性价比非常高
合身弹性	我的身高体重 穿码的衣服 长短肥瘦刚刚好尺码大小 非常合身弹性大小 有弹性 面料材质 摸起来很舒服 这次活动价格也非常合算 物美价廉 包装也不错 非常好的一次购物
有弹性	我的身高体重 穿码的衣服 长短肥瘦刚刚好尺码大小 非常合身弹性大小 有弹性 面料材质 摸起来很舒服 这次活动价格也非常合算 物美价廉 包装也不错 非常好的一次购物
价格非常合算	我的身高体重 穿码的衣服 长短肥瘦刚刚好尺码大小 非常合身弹性大小 有弹性 面料材质 摸起来很舒服 这次活动价格也非常合算 物美价廉 包装也不错 非常好的一次购物
衣服很薄 四十元	衣服很薄 三件四十元 感觉是一次性的 还是便宜没好货吧
实体店没有	面料类型 跟实体店没有区别 还便宜 喜欢 面料质感 手感好 很得劲 物流也快 性价比很高 值得购买透气性 太开心了 各方面都很满意 是我喜欢的风格试穿效果 物美价廉 物流给力 值得回购尺码大小 挺好的 和想象中一样 随意搭都很好看 满意
区别 	面料类型 跟实体店没有区别 还便宜 喜欢 面料质感 手感好 很得劲 物流也快 性价比很高 值得购买透气性 太开心了 各方面都很满意 是我喜欢的风格试穿效果 物美价廉 物流给力 值得回购尺码大小 挺好的 和想象中一样 随意搭都很好看 满意
质感 	面料类型 跟实体店没有区别 还便宜 喜欢 面料质感 手感好 很得劲 物流也快 性价比很高 值得购买透气性 太开心了 各方面都很满意 是我喜欢的风格试穿效果 物美价廉 物流给力 值得回购尺码大小 挺好的 和想象中一样 随意搭都很好看 满意
手感好	面料类型 跟实体店没有区别 还便宜 喜欢 面料质感 手感好 很得劲 物流也快 性价比很高 值得购买透气性 太开心了 各方面都很满意 是我喜欢的风格试穿效果 物美价廉 物流给力 值得回购尺码大小 挺好的 和想象中一样 随意搭都很好看 满意
物流快	面料类型 跟实体店没有区别 还便宜 喜欢 面料质感 手感好 很得劲 物流也快 性价比很高 值得购买透气性 太开心了 各方面都很满意 是我喜欢的风格试穿效果 物美价廉 物流给力 值得回购尺码大小 挺好的 和想象中一样 随意搭都很好看 满意
性价比很高	面料类型 跟实体店没有区别 还便宜 喜欢 面料质感 手感好 很得劲 物流也快 性价比很高 值得购买透气性 太开心了 各方面都很满意 是我喜欢的风格试穿效果 物美价廉 物流给力 值得回购尺码大小 挺好的 和想象中一样 随意搭都很好看 满意
购买透气性	面料类型 跟实体店没有区别 还便宜 喜欢 面料质感 手感好 很得劲 物流也快 性价比很高 值得购买透气性 太开心了 各方面都很满意 是我喜欢的风格试穿效果 物美价廉 物流给力 值得回购尺码大小 挺好的 和想象中一样 随意搭都很好看 满意
