labels,key_words,review
6,布兜也没有,做工差，布兜也没有，布料太薄，袖头简单
30,价挺实惠,t恤收到了，做工非常精细，面料是纯棉的，很柔软穿着非常舒服，老公和两个老爸一人一件，价格挺实惠。
3,材料不一样,黑色和灰色的材料都不一样，黑色太垃圾，做工也不行，灰色稍正常一点
26,做工非常精细,t恤收到了，做工非常精细，面料是纯棉的，很柔软穿着非常舒服，老公和两个老爸一人一件，价格也特实惠。
3,材质不好,材质不好
26,质量很好,T恤质量很好，面料柔软舒适，款式简约百搭，穿着好看。
6,厂家能不能监控好,京东以后能不能监控好，这种有质量问题的厂家都能随便进来！！！无语?
3,材质根本没写,什么材质根本没写啊，写着详情见包装？根本找不到是什么材质的，以为是纯棉的才买的，过下水掉了很多**。最起码什么材质得标清楚吧？这样能通过质检？况且不便宜啊！
27,纯棉,t恤质量很好，是纯棉的，尺码也很标准，老公很喜欢
24,尺码也很标准,t恤质量很好，是纯棉的，尺码也很标准，老公很喜欢
26,质量很好,t恤质量很好，是纯棉的，尺码也很标准，老公很喜欢
3,材质垃圾,收缩厉害材质：垃圾，假冒牌
30,正品很好,t恤质量很好是正品
15,泛黄白里,白里泛黄
18,防晒晒黑了,白色的不防晒，还是把手臂晒黑了
1,变大穿一天,穿一天，领口就变大了
17,显得太宽松,白色的显得太宽松，适合胖子身材
2,布料好糙,布料好糙呀！白色的还不是南极人的衣服，什么鬼玩意，**！
17,白色孝衣一样,白色跟孝衣一样
1,变形穿都没穿,买东西从来不评论，但是这两件衣服让我极其的愤怒，粘毛变形！大码一洗变小码穿都没穿，就扔垃圾桶！贴牌产品
15,泛黄一般,白色衣服颜色泛黄，不是纯白，质量一般
3,材质类型,没有口袋，不方便，?材质类型：材质类型：不好 ，太薄
17,颜色白色,白色衣服颜色泛黄，不是纯白，质量一般
20,客服是个小学生,白色衣服质量不怎么样，黑色还可以，客服是个小学生
3,材质太差,材质太差
2,布料好差,布料好差，又说是纯棉？
17,版型不合身,版型：170的穿出180的感觉。不合身
24,穿起舒适尺码大小：小合适,版型：好，是否舒适：穿起舒适尺码大小：小合适 快递很快，服务满意
29,版型：好,版型：好，是否舒适：穿起舒适尺码大小：小合适 快递很快，服务满意
35,快递很快,版型：好，是否舒适：穿起舒适尺码大小：小合适 快递很快，服务满意
3,臭味容易有,衣服洗了容易有臭味
17,版型一般,版型：一般
17,版型有点大,版型：有点大
5,版型差,版型差，不好看
26,质量很好,版型还行，质量很好。棉的。爸爸很喜欢???
17,版型还行,版型还行，质量很好。棉的。爸爸很喜欢???
26,质量很好,版型好，摸起来很舒服，不掉色，没有色差，显瘦，百搭，上身效果好，质量很好。。
6,品牌你好意,尺寸过小，根本没法穿，就是**，挺大的品牌你好意思吗
15,面料还算可以,版型很一般，面料还算可以，反正价格不贵，凑合着穿吧
18,面料还,版型很一般，面料还算可以，反正价格不贵，凑合着穿吧
17,版型很一般,版型很一般，面料还算可以，反正价格不贵，凑合着穿吧
17,版型很一般,版型很一般，适合居家穿。
17,版型奇怪,版型奇怪，宽度有余，长度不足。
9,骚扰电话骚扰频繁,半年后，广告骚扰频繁，尤其这两天骚扰电话很多，
15,面料还行,半袖面料还行，版型漂亮。下水洗了不变形，不掉色，非常好。
3,穿过样是脏的,说实话这衣服质量真的不大好，129买了两件，白色那件有杂物切是脏的，感觉像是穿过样，衣服有味道，保暖效果待体验，不过有些薄了
25,变形洗了不,半袖面料很好，版型漂亮。下水洗了不变形，不掉色，非常好。
6,店卖垃圾,退货还那么麻烦 自己不会处理吗都   醉了对于这种店
26,做工精细,半袖收到啦，质量很好，做工精细，尺码标准，不缩水不起球。
24,尺码标准,半袖收到啦，质量很好，做工精细，尺码标准，不缩水不起球。
26,质量很好,半袖收到啦，质量很好，做工精细，尺码标准，不缩水不起球。
35,服务也好,包装的很好   大小合适的   店家服务也好   好评
30,包装很好,包装的很好   大小合适的   店家服务也好   好评
18,包装还可以,包装还可以
30,包装很给,包装很给力，很好的保护了个人的隐私
33,个人的隐私很好的保护,包装很给力，很好的保护了个人的隐私
33,包装完全看不出来,包装也非常隐蔽完全看不出来
3,穿着不舒服,面料穿着不舒服，有刺痛的感觉。
35,京东快递很给力,宝贝刚刚收到，看起来不错，京东快递很给力，南极人牌子也很有名气，质量应该没的说，网上购物一直喜欢京东购，穿过后在追评！
30,牌子有名气,宝贝刚刚收到，看起来不错，京东快递很给力，南极人牌子也很有名气，质量应该没的说，网上购物一直喜欢京东购，穿过后在追评！
31,发货很快,发货速度很快的我的身高体重：180尺码大小：正好
35,物流相当给力,宝贝很喜欢，物超所值！品牌值得信任，期待下次有新品惊艳上市。物流相当给力，基本都是隔天就到货。包装完好，无破损
26,宝贝很喜欢,宝贝很喜欢，物超所值！品牌值得信任，期待下次有新品惊艳上市。物流相当给力，基本都是隔天就到货。包装完好，无破损
30,品牌值得信任,宝贝很喜欢，物超所值！品牌值得信任，期待下次有新品惊艳上市。物流相当给力，基本都是隔天就到货。包装完好，无破损
30,包装完好,宝贝很喜欢，物超所值！品牌值得信任，期待下次有新品惊艳上市。物流相当给力，基本都是隔天就到货。包装完好，无破损
3,纯棉不是,不是纯棉
26,线头没有,宝贝收到了，试穿了一下，感觉不错，大小合适，没有线头，
30,活动划算,宝贝心仪很久了，趁活动时候买真的太划算了，喜欢的不要犹豫啊
9,保密尴尬死,保密发货？快递盒子一条大缝隙拿到时候给我尴尬死我看好评挺多的就买了没想到是这样，东西你用力就会掉胶
21,保密工作做得还行,保密工作做得还行
11,L码不是一样大,首先，我买的是L码，结果不是一样大。黑是南极人，白的不是，卖的不是一个牌子。以为挂了两个合格证就是南极人？差评，要不是点到星了，我一个心也不送。简直就是**！
8,态度敷衍,备注清晰漏发货，客服解决问题态度敷衍。
21,箱子还算严实,箱子还算严实
9,信息每天给我发短信,本人从没有浏览，了解过该平台，该平台不知道哪里来的我的信息，每天给我发短信骚扰，如没有合理解释本人将投诉银监会
9,个人信息严重怀疑,本人从未在京东买过任何东西  甚至连app都没有  但最近一直有京东快递给我发电话卡  要我带身份证现场给我激活  关键本人没下单  为何会给我发货  严重怀疑个人信息泄露  要求给我解释  处理  毕竟我的收货地址那个号码不是本人的  严重影响他人生活
9,保密做出赔偿,本人刚刚启用的号码，就有陌生人打电话过来，还能准确报出我的姓名，还知道我办理过其他企业的有关业务，但业务预留手机号又不是新办的号码，请中国电信给我一个说法及对我的信息没有做到保密的事做出赔偿！
9,信息泄漏怀疑,本人近期并没有到任何快递，不知道为啥突然给我发让我去取快递，而且那么远，就发一个尾号多少，怀疑信息泄漏！
9,信息很多麻烦,本人近期在多点抽中了一瓶茅台，并支付了货款1499元，去门店领取时被告知信息不符，不可以领取，仔细查看后发现本人名字和姓中间多了一个空格，因绑定了麦德龙会员必须去办卡门店修改，但是麦德龙京顺路店早已关闭，并且路途遥远。因麦德龙工作人员的失误给我造成了很多麻烦，请麦德龙尽快帮我把姓名中间的空格去掉，便...
9,身份证突然收到,本人没有申请过任何联通卡，今天突然收到订单消息并且需要携带身份证开卡。
9,不知情要求销户,本人身份证名下多出来一个联通王卡在   并且办理了联通宽带 不知情的情况下  现在要求销户 ！
9,信息困扰,本人因曾经有过诉讼案件 虽说裁判文书可以公开，可是该app硬是扩大了传播范围，给人带来不必要的困扰， 前段时间在百度搜索自己的名字发现天眼查将自己的名字辛建林显示出来，而将他人的名字进行打码，影响子女和工作，希望停止对本人信息的随意公布，删除转载，隐匿姓名。
9,解冻账户 撤,本人于2021年4月左右因个人问题跟360借款，因急用，后发现利息问题年利率高达35.94%及个人工作问题没有还完这笔钱，但是360暴力催收并且未经允许转让给其他公司，并且冻结我的微信银行卡账户致使我本人没有办法继续工作赚钱偿还 要求解冻账户 撤销征信 延期一年还款
30,口袋可惜没有,比较透气，而且特别软舒适，外观也不错，可惜没有口袋，比较满意的
6,掉价真会赚钱,刚买完就掉价，可真会赚钱
2,布料太差劲,布料太差劲  还不如路边摊买的
3,掉色严重,黑色掉色严重，都没洗几次。
26,做工也可以的,冰冰凉凉，穿上就很舒服，贼啦凉快，做工也可以的，
17,浅青色真难看,冰蓝色就是浅青色了，真难看，我还以为蓝色的呢
6,兜 没有,衣服第一次购买非常好，第二次的质量和第一次的都不一样并且没有兜   码数也一样比第一次要大的太多啦
35,到货速度很快,不错，到货速度很快，穿在身上也比较凉快。
2,布料脱线,布料不好，还脱线，穿了几次就感觉穿不下去了
30,防晒效果也很好,不错，很轻薄，防晒效果也很好
18,不防晒没有用,不防晒 没有用处的？
18,不防晒很热很晒,不防晒的 不要买了 还是很热很晒
18,不防晒,不防晒的不防晒饿不防徘徊
5,色差不能再差,不光有色差 ，打开包装之后还有污渍，这种体验简直不能再差了
2,布料真的不好,布料真的不好，不建议购买，一分价钱一分货吧
2,材质布料差,材质：布料差尺码大小：尺寸大小不合适，太宽松了，特别是袖子，，
0,尺寸大小不合适,材质：布料差尺码大小：尺寸大小不合适，太宽松了，特别是袖子，，
2,拆开都是毛,刚拆开都是毛，洗了两次还是这样
2,产品劣质,京东六年第一次评价，不为什么，只为吐槽如此劣质产品，也能在京东销售，衣服严重缩水，黑色洗过一次，直接袖口缩水5公分，白色袖口开线。我只是想问下，这个衣服是一次性的吗？不能洗的？谁买谁**！
13,变形厉害,不好穿，没啥弹性，而且变形的厉害
2,产品质量非常非常差,产品质量非常非常差，申请了退货商家不处理，非常非常糟糕
7,客服联系不上,不合适，退换说换个颜色一直联系不上客服，没人理解决问题
13,缩水不会,穿过了，不会缩水的
11,被签收没收到,衣服都没收到就被签收，还不知道谁签收的，找客服也没什么用，都不管，下次不会用这个软件了
6,防晒效果可以,商品质量一般，防晒效果可以。
4,三无产品垃圾,特别垃圾，简直就是三无产品
2,产品质量太差,产品质量太差，刚买过来就开线，退还补同意，要我补差价自己找地方锋一下！在京东不是自营的也别买了，太差劲了
7,客服回复慢的要,不建议购买。首先包装，一个品牌竟然直接给我装到快递袋里面，最起码的外包装都没有吗？？？；其次没有商标，谁知道是不是南极人；客服回复慢的要死。再者线头满天飞。极不愉快的一次购物。
2,尺码十块钱,尺码大小：做的跟十块钱一样似得
18,便宜是真的,不是很好感觉很旧不过便宜是真的
5,很旧不是很好,不是很好感觉很旧不过便宜是真的
15,棉的不是,不是棉的，舒适感一般，不贴身，布做的
2,抽丝起球,没诚信的店家，等了半个月才收到货！衣服很容易抽丝起球，谨慎购买！
4,是挂牌不要购买,不是南极人的牌子，是挂牌，建议不要购买，衣服没有型
5,衣服没有型,不是南极人的牌子，是挂牌，建议不要购买，衣服没有型
0,尺码标太硬,不是说要求高，而是实实在在评价，首先面料一般，设计师有很大毛病，设计太宽，是给胖子设计衣服吗？宽宽短短的，穿着都能漏风。里面的尺码标太大太硬，穿着硌人。不建议购买，好评都是因为有好处的。
5,设计太宽,不是说要求高，而是实实在在评价，首先面料一般，设计师有很大毛病，设计太宽，是给胖子设计衣服吗？宽宽短短的，穿着都能漏风。里面的尺码标太大太硬，穿着硌人。不建议购买，好评都是因为有好处的。
35,物流很快,不是特别好，瑕疵还很多，很好，物流很快，东西很给力，性价比很高！
17,特别好看不是,不是特别好看
5,不好看,不太满意，不好看。照片与实物差距大。最多一颗星。
6,挂牌货还不如,感觉吧，还不如我买过的四件一百的。南极人果然是挂牌货
8,客服态度恶劣,不向买家开具发票，客服态度恶劣
5,没型不行,不行，不能买没型
1,变形穿很久,穿很久不变形
2,穿三次破洞,穿三次就破洞。店家不负责。说退五块钱。不会再来了。希望想买的朋友注意了。
2,穿一次破了,穿一次就发现破了
2,穿一天差的很,穿一天就开线了，质量这一点真是差的很
4,商标有商,到手的衣服领口没有商标，
4,南极人卖吊牌,果然是卖吊牌的南极人，这种货色敢卖这么贵，还不如去**买。以后决不可能买南极人了。
4,标签贴牌货,果然是贴牌货，我见过最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最最简单的衣服标签，自己都觉的心虚，很难让人相信！！！
4,吊牌谨慎购买,黑色的那件无吊牌，谨慎购买
4,吊牌很奇怪,质量一般，吊牌也很奇怪，标签没有直接车在衣服上，质量希望会有所改善，厚薄度的话相对是薄的，舒适度要等穿后再来追评，颜色还算耐脏。
4,标，有商,不建议购买。首先包装，一个品牌竟然直接给我装到快递袋里面，最起码的外包装都没有吗？？？；其次没有商标，谁知道是不是南极人；客服回复慢的要死。再者线头满天飞。极不愉快的一次购物。
4,牌子都不一样,两件衣服牌子都不一样，衣服领口超级大。失败。
4,品牌怀疑,衣服质量很差，粘上毛拍都拍不掉。图片与实物也不符。图片有品牌信息，实物没有任何品牌信息。严重让人怀疑是不是正品。。。
4,吊牌直接丢,尺码完全跟描述的不对L码写着165-170，实际到货居然是176的。然后吊牌什么的都只是直接丢袋子里的
4,吊牌,说实话 不带虚假 买了这么多次 第一次见如此差的衣物 包装破 没吊牌不说 衣服还是有污渍 最搞笑的是里面没纸板 用的是红塔山烟盒 搞笑是不
25,变形洗了也不会,下水洗了也不会变形
2,底边崩开,穿几天时间，底边崩开了。
25,变形洗过不,衣服穿过了，也洗过了，洗过不变形
25,变皱洗过不,衣服洗过了不变皱。
25,缩水洗过不,店铺的裤子洗过了，不缩水
25,变皱洗了很多次都不会,衣服洗了洗了很多次都不会变皱
25,变形洗了很多次都不会,衣服不会变形的
25,缩水洗了很多次都不会,衣服洗了很多次都不会缩水
25,缩水布料好，洗多次不,布料好，洗多次不缩水。还京东自营。丢
2,掉毛差评,掉毛差评，居然还是第二次买这个，之前上过当都忘了
2,掉毛太差,黑色掉毛严重，太差。
2,掉色还掉毛变形。不得不说，黑色太垃圾了,黑色洗完不仅掉色还掉毛，洗完基本就变形了。白色虽然不掉色，感觉洗完也轻微变形。不得不说，黑色太垃圾了，洗完就扔了。
2,洞洞洞洞,大家看清楚这是什么质量，收到货到处是没有缝合好的洞洞，找客服，他们就直接推托给京东！他们概不负责？！收了钱，啥都不管了，且不说质量有多差，就这点诚信和服务建议大家慎重购买！
15,布料一般吧,布料一般吧，同样是2XL，这两件比我其他的衣服都大，勉勉强强
15,布料一般般,布料一般般，还没穿，就看到有点起球，毕竟一分钱一分货吧，总的来说还算可以
2,刚穿了一次坏了,刚穿了一次，发现坏了，说是补偿我3元，不要了，也不用补偿了
13,布料较好,布料质量较好！
2,还没穿呢烂的,还没穿呢，到手就是烂的，洗了才发现?
2,还没穿线就开了,还没穿线就开了
2,京东自营垃圾,京东自营也这么垃圾了，质量跟一二十的差不多，买来洗一下领口都变形了，黑色的掉色，不建议购买
0,尺寸大小不合适,材质：布料差尺码大小：尺寸大小不合适，太宽松了，特别是袖子，，
15,材质有点一般,材质：材质觉得有点一般，穿起来有点效果一般。
17,效果一般,材质：材质觉得有点一般，穿起来有点效果一般。
3,都是穿过的,两件都是穿过的
1,变形穿一次,穿一次，衣服领就变形了，果然是便宜没好货
3,换了一是脏的,换了一次仍然是脏的
6,广告真差劲,真差劲，没有广告说的那么好
15,材质纯棉,材质：纯棉，首次穿感觉还可以版型：洗过后缩水蛮严重的
13,缩水蛮严重,材质：纯棉，首次穿感觉还可以版型：洗过后缩水蛮严重的
17,以版觉还可,材质：纯棉，首次穿感觉还可以版型：洗过后缩水蛮严重的
3,灰尘差评,衣服到了，但是白色衣服上面很多灰尘，拍不掉的那种，而且衣服也很多折痕，不清楚衣服是不是别人推掉的还是在发货的时候掉地上了，很好的差评
6,灰尘垃圾堆,刚拆开，这灰尘就像垃圾堆里捡来的
15,材质价格决定材质,材质：价格决定材质
2,就穿一次破了,就穿一次，买来还没几天，就破了，烂
4,贴标商品,黑色中参杂着一些白色，衣服总体感觉就像是十元一件批发部批的贴标商品
29,版型：比较宽松,材质：棉的，贴身好穿版型：比较宽松有防伪标牌，包装很好，值得购买。
27,材质：棉的,材质：棉的，贴身好穿版型：比较宽松有防伪标牌，包装很好，值得购买。
30,包装很好,材质：棉的，贴身好穿版型：比较宽松有防伪标牌，包装很好，值得购买。
6,假冒牌,收缩厉害，假冒牌
3,直接扔，,买好久了，这两天才拿出来，靠，这都啥料啊？一洗一穿，袖口秒变裤腿，直接扔。
13,洗了几次,材质：洗了几次就变长了
15,材质有些脏,材质：衣服有些脏
35,发货速度很快,洗过后比想象的还要差，发货速度很快，凌晨下单，下午就到了，这个要表扬。
13,洗过后还要差,洗过后比想象的还要差，发货速度很快，凌晨下单，下午就到了，这个要表扬。
15,材质还行,材质还行，线头有点多，无语
2,线头多,材质还行，线头有点多，无语
3,面料类太差了,面料类型：太差了
3,料子粗糙,料子有点粗糙，容易吸灰尘和各种小颗粒杂物，不怎么行，下次不买了
35,物流很快,物流很快，大爱！
2,开裂,穿了两次就开裂了！我也没办法.
15,材质面料粗硬,材质面料粗硬
26,做工不错,做工不错，质量非常棒。
2,开线差评,差评，穿了一个下午，衣服开线了
15,材质一般,材质一般，看着款式不好看
3,料子麻布似的,料子跟麻布似的
5,款式不好看,材质一般，看着款式不好看
15,材质一般,材质一般，跟汗水粘在一起。
3,骗人的,一般，哪里是棉的，骗人的
9,电话造成影响,菜鸟裹裹出现大量非本人购买的包裹，并显示已签收，经常接到快递电话，已经对生活造成影响
2,口子太坑了,买的时候没注意看，穿的时候破这么大个口子，这也太坑了吧，自营店的衣服现在质量也这么差吗？
2,拉链有问题,第一次买这个衣服，买回拉链那里就有问题，一次不愉快的购物
6,降价垃圾,真是垃圾，买完就降价
11,才收到货等了半个月,等了半个月才收到货！
8,服务态度真垃圾,这服务态度真垃圾，最后还是我自己找的京东客服要的快递员电话，强烈差评
6,京东差评,人生第一个差评送给京东，谁买谁上当
11,才收到货这么差的,这么多年第一次碰到这么差的，前后共计11天才收到货，而且我自己查客服才知道东西到了，也没提示，也不送货，物流更是差的要命
11,尺码发错,发错尺码，高估了
2,拉丝差评,差评，质量存在问题，拉丝有线头，质量差。
7,联系客服不回复,差评，穿了一个下午，衣服开线了，联系客服很久不回复，离开再进来要重新说明情况，折腾2个小时还没解决。不要了总行吧
1,变形很容易,买了两件。同个码数一件灰色，一件黑色，灰色那件质量好差！衣服很容易变形！
5,看起来好难看,差评，黑色衣服圆领前面线路断了一大截而且衣服有点脏。看起来好难看。便宜没好货，再也不在网上买东西了。
2,毛毛无语了,穿了一上午弄身上一层黑色的毛毛，无语了
2,毛球质量差,会起毛球，质量差
2,没穿差劲,穿都没穿，就成这样了，给客服反映问题两天了没人搭理，真差劲
1,变形严重,材质：一般衣服严重变形脖子位置才穿两次，有对比前面一件是别人家的便宜15块一件质量比这家好建议不要买，会后悔。
4,吊牌挂的,穿的还是蛮舒服的，但你这挂的南极人的品牌卖，除了弄了个吊牌外，衣服上从里到外我没看到任何关于品牌的LOGO，说实话这衣服到底是不是南极人的我表示很怀疑
11,错码,主要是给发错码了
1,差评差评,差评差评，严重严重缩水，商家
4,吊牌垃圾,吊牌就是一根绳子拴着一个袋子。垃圾
4,牌子山寨,一件有logo，另外一件就不知道是什么山寨牌子了！还是京东自营呢！这么欺骗消费者真的行吗？哪来的那么多好评，雇水军的吗？
4,牌子不建议买,衣服质量不好，白色T恤的商标不知道打的什么牌子，不建议买。
28,标牌有防伪,材质：棉的，贴身好穿版型：比较宽松有防伪标牌，包装很好，值得购买。
1,尺寸一水洗,买回来试穿刚刚好，一水洗马上小了两个尺寸，手臂伸展都困难，没法穿了
0,毫无弹性,拆开包装，手感抹布，毫无弹性，没穿拿去洗，晾干后，黑色那件还好，灰色那件衣领已变形（如图）算是废了，店家那么多好评，估计花了不少钱
2,面料廉价,不好，还没穿，洗过一次，起球很严重，面料摸起来廉价得不行，洗过一次穿上身还痒，我就奇了怪了。
2,破的,拆开一看版型一般，几十块的东西讲究一下。洗后发现是破的，草，花钱买件破衣服！！！！
5,版型一般,拆开一看版型一般，几十块的东西讲究一下。洗后发现是破的，草，花钱买件破衣服！！！！
3,面料不理想,面料类型：不理想
2,破的太差了,穿的时候没发现肩膀处是破的，这个质量太差了吧！！！！
18,口袋没有,产品一般，没有口袋，出门放个单据等l小东西都没处放，另外号偏瘦，买大一号可以，
2,破洞比较差,尺码偏大，换货过程非常顺利便捷，产品做工比较差，线条遍布，穿一天袖口就脱线了，没有之前穿的班尼路打底衫质量好，上次买了一盒南极人的袜子，没有一双不是穿着穿着脚底脚指头破洞，大概以后不会再买南极人的衣品了，印象不好。
10,退货商家不处理,产品质量非常非常差，申请了退货商家不处理，非常非常糟糕
2,破了个洞好垃圾啊,拆开来看，破了个洞！立马申请退款，好垃圾啊
10,退还补同意,产品质量太差，刚买过来就开线，退还补同意，要我补差价自己找地方锋一下！在京东不是自营的也别买了，太差劲了
3,面料不推荐,非常差，只值十块钱十块钱的东西，不推荐。面料容易吸尘，版型不好。
3,面料不知是什么面料,两件衣服，一件有印LOGO，一件没印；白色的一件面料还算正常，黑色的一件不知是什么面料，又硬又没弹性，穿上简直有刺感
6,京东低质量,质量不是一般的差，京东以后别自营这些低质量的货了，影响你的形象！尺码也是醉了，平时穿175，这次故意买180当睡衣穿，谁知到货后穿起来比我175的衣服还小，太搞笑了，耍猴呢！给媳妇当睡衣穿吧！
0,尺寸过小,尺寸过小，根本没法穿，就是**，挺大的品牌你好意思吗
6,京东垃圾,面料差，极其容易脱线。如图所示，已经开线。jd给了我补偿，但不代表商品质量就不存在问题了。仍然觉得衣服用不长久。随便鄙视京东卖垃圾雨刷给我，自从装上，一天比一天雨水漏刮严重，才20天，就只能丢掉。京东越来越差了。
0,尺寸偏小,尺寸偏小
0,尺寸偏小,尺寸偏小，换大一号。
23,发错货没有,尺码备注清没有发错货，客服解决问题态度敷衍。
8,客服态度敷衍,尺码备注清没有发错货，客服解决问题态度敷衍。
11,店家,店家说衣服有瑕疵不能发货，而且没有提前跟我沟通
8,态度态度敷衍,尺码备注清晰扔发错货，客服解决问题态度敷衍。
0,尺码不对,尺码不对，穿起来屁股都没了
3,面料粗糙,舒适感差，这面料还粗糙，真的差评。
0,尺码不合适,尺码大小：不合适
0,尺码不正规,尺码大小：不正规&radic;
23,快递较慢,尺码大小：尺寸偏小，质地还行，快递较慢。
0,尺码小太多,尺码大小：尺码比一般的要小太多，面料也一般
2,破损质量差,才买的就有破损，质量差！
15,面料一般,尺码大小：尺码偏小！建议拍大一码！面料一般！透气性一般！
2,起毛差评,差评，起毛的，要求退货啊
0,尺码大了,尺码大小：大了
0,尺码大小不一样,尺码大小：大小不一样
2,起球球垃圾,垃圾南极人，洗过穿，痒死了，起球球一样
2,起球严重,不好，还没穿，洗过一次，起球很严重，面料摸起来廉价得不行，洗过一次穿上身还痒，我就奇了怪了。
2,全部都是线坏掉,买的一天就坏掉而且全部都是线头
23,装货失误,尺码大小：第二次买了，第一次以为是装货的失误，结果这次和上次一样，灰色的尺码不管是肩宽还是衣长，确实比白色的小一个号
2,全是毛不推荐,非常不推荐！！！什么面料，全是毛，洗也洗不掉。用湿手摸，手掌上全是毛！
2,上线松的,买回来 肩膀上线都是松的  还有洞
10,运费加多,尺码大小：根本不符合，买了m码小了，换了l码只大了一点点，相差不大，还加多9块运费，次品。
0,尺码大小：根本不符合,尺码大小：根本不符合，买了m码小了，换了l码只大了一点点，相差不大，还加多9块运费，次品。
