labels,key_words,review
FOOD,3 Grilled Chicken special with Edamame Puree,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.
QUALITY,3 Grilled Chicken special with Edamame Puree,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.
FOOD,3 Edamame pureed,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).
QUALITY,3 Edamame pureed,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).
FOOD,3 Edamame pureed,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).
STYLE_OPTIONS,3 Edamame pureed,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).
AMBIENCE,1 place,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern."
GENERAL,1 place,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern."
AMBIENCE,3 decor,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern."
GENERAL,3 decor,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern."
AMBIENCE,1 vent,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern."
GENERAL,1 vent,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern."
DRINKS,3 sake list,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!"
STYLE_OPTIONS,3 sake list,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!"
SERVICE,3 NEG,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!"
GENERAL,3 NEG,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!"
FOOD,3 spicy tuna roll,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!"
QUALITY,3 spicy tuna roll,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!"
FOOD,3 rock shrimp tempura,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!"
QUALITY,3 rock shrimp tempura,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!"
SERVICE,3 service,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!
GENERAL,3 service,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!
RESTAURANT,3 pink pony,we love th pink pony.
GENERAL,3 pink pony,we love th pink pony.
RESTAURANT,3 spot,THe perfect spot.
GENERAL,3 spot,THe perfect spot.
FOOD,3 Food,Food-awesome.
QUALITY,3 Food,Food-awesome.
SERVICE,3 Service,Service- friendly and attentive.
GENERAL,3 Service,Service- friendly and attentive.
AMBIENCE,3 Ambiance,Ambiance- relaxed and stylish.
GENERAL,3 Ambiance,Ambiance- relaxed and stylish.
RESTAURANT,3 place,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart."
GENERAL,3 place,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart."
FOOD,2 food,the food is decent.
QUALITY,2 food,the food is decent.
SERVICE,1 service,"however, it's the service that leaves a bad taste in my mouth."
GENERAL,1 service,"however, it's the service that leaves a bad taste in my mouth."
SERVICE,1 waiter,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check."
GENERAL,1 waiter,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check."
SERVICE,1 NEG,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience."
GENERAL,1 NEG,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience."
RESTAURANT,1 NEG,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. "
GENERAL,1 NEG,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. "
RESTAURANT,1 NEG,the last time i walked by it looked pretty empty. hmmm.
MISCELLANEOUS,1 NEG,the last time i walked by it looked pretty empty. hmmm.
RESTAURANT,3 place,This place has got to be the best japanese restaurant in the new york area.
GENERAL,3 place,This place has got to be the best japanese restaurant in the new york area.
RESTAURANT,3 NEG,I had a great experience.
GENERAL,3 NEG,I had a great experience.
FOOD,3 Food,Food is great.
QUALITY,3 Food,Food is great.
SERVICE,3 Service,Service is top notch.
GENERAL,3 Service,Service is top notch.
RESTAURANT,3 NEG,I have been going back again and again.
GENERAL,3 NEG,I have been going back again and again.
FOOD,3 sea urchin,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose."
QUALITY,3 sea urchin,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose."
FOOD,3 NEG,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery."
QUALITY,3 NEG,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery."
FOOD,3 sushi,The sushi seemed pretty fresh and was adequately proportioned.
QUALITY,3 sushi,The sushi seemed pretty fresh and was adequately proportioned.
FOOD,3 sushi,The sushi seemed pretty fresh and was adequately proportioned.
STYLE_OPTIONS,3 sushi,The sushi seemed pretty fresh and was adequately proportioned.
FOOD,3 rice to fish ration,The rice to fish ration was also good--they didn't try to overpack the rice.
STYLE_OPTIONS,3 rice to fish ration,The rice to fish ration was also good--they didn't try to overpack the rice.
FOOD,3 half price sushi deal,We took advanatage of the half price sushi deal on saturday so it was well worth it.
QUALITY,3 half price sushi deal,We took advanatage of the half price sushi deal on saturday so it was well worth it.
RESTAURANT,3 NEG,Surprisingly nothing could be further from the truth.
MISCELLANEOUS,3 NEG,Surprisingly nothing could be further from the truth.
RESTAURANT,3 crowd,"In the evening, this place attracted a well dressed, with it, NY crowd."
MISCELLANEOUS,3 crowd,"In the evening, this place attracted a well dressed, with it, NY crowd."
FOOD,3 food,The food was well prepared and the service impecable.
QUALITY,3 food,The food was well prepared and the service impecable.
SERVICE,3 service,The food was well prepared and the service impecable.
GENERAL,3 service,The food was well prepared and the service impecable.
RESTAURANT,3 NEG,I'm going back.
GENERAL,3 NEG,I'm going back.
AMBIENCE,3 NEG,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.
GENERAL,3 NEG,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.
FOOD,3 Prix Fixe menu,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
QUALITY,3 Prix Fixe menu,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
FOOD,3 Prix Fixe menu,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
STYLE_OPTIONS,3 Prix Fixe menu,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
FOOD,3 Prix Fixe menu,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
PRICES,3 Prix Fixe menu,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
RESTAURANT,3 NEG,I will be going back and heartily recommend it!
GENERAL,3 NEG,I will be going back and heartily recommend it!
FOOD,3 NEG,"It is terrific, as is the value."
QUALITY,3 NEG,"It is terrific, as is the value."
FOOD,3 NEG,"It is terrific, as is the value."
PRICES,3 NEG,"It is terrific, as is the value."
FOOD,3 food,"$6 and there is much tasty food, all of it fresh and continually refilled."
STYLE_OPTIONS,3 food,"$6 and there is much tasty food, all of it fresh and continually refilled."
FOOD,3 food,"$6 and there is much tasty food, all of it fresh and continually refilled."
QUALITY,3 food,"$6 and there is much tasty food, all of it fresh and continually refilled."
FOOD,3 food,"$6 and there is much tasty food, all of it fresh and continually refilled."
PRICES,3 food,"$6 and there is much tasty food, all of it fresh and continually refilled."
FOOD,3 dishes,"I am not a vegetarian but, almost all the dishes were great."
QUALITY,3 dishes,"I am not a vegetarian but, almost all the dishes were great."
RESTAURANT,3 NEG,Go hungry and enjoy.
GENERAL,3 NEG,Go hungry and enjoy.
FOOD,3 food,"The food here is rather good, but only if you like to wait for it."
QUALITY,3 food,"The food here is rather good, but only if you like to wait for it."
SERVICE,1 NEG,"The food here is rather good, but only if you like to wait for it."
GENERAL,1 NEG,"The food here is rather good, but only if you like to wait for it."
FOOD,3 somosas,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
QUALITY,3 somosas,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
FOOD,3 chai,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
QUALITY,3 chai,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
FOOD,3 chole,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
QUALITY,3 chole,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
FOOD,1 dhosas,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
QUALITY,1 dhosas,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
FOOD,1 dhal,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
QUALITY,1 dhal,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
SERVICE,1 service,"The service varys from day to day- sometimes they're very nice, and sometimes not."
GENERAL,1 service,"The service varys from day to day- sometimes they're very nice, and sometimes not."
SERVICE,1 kitchen,"The kitchen however, is almost always slow."
GENERAL,1 kitchen,"The kitchen however, is almost always slow."
FOOD,1 food,"Also, specify if you like your food spicy- its rather bland if you don't."
QUALITY,1 food,"Also, specify if you like your food spicy- its rather bland if you don't."
AMBIENCE,3 ambience,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best."
GENERAL,3 ambience,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best."
RESTAURANT,3 NEG,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best."
MISCELLANEOUS,3 NEG,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best."
LOCATION,3 view,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.
GENERAL,3 view,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.
SERVICE,3 service,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
GENERAL,3 service,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
FOOD,3 food,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
QUALITY,3 food,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
FOOD,3 food,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
PRICES,3 food,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
FOOD,3 lava cake dessert,The lava cake dessert was incredible and I recommend it.
QUALITY,3 lava cake dessert,The lava cake dessert was incredible and I recommend it.
AMBIENCE,3 Cosette,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro."
GENERAL,3 Cosette,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro."
AMBIENCE,3 restaurant,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair."
GENERAL,3 restaurant,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair."
FOOD,3 food,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way."
QUALITY,3 food,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way."
FOOD,1 French Onion soup,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way."
QUALITY,1 French Onion soup,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way."
FOOD,3 French Onion soup,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way."
STYLE_OPTIONS,3 French Onion soup,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way."
FOOD,1 desserts,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way."
QUALITY,1 desserts,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way."
AMBIENCE,3 ambience,"However, go for the ambience, and consider the food just a companion for a trip across the world!"
GENERAL,3 ambience,"However, go for the ambience, and consider the food just a companion for a trip across the world!"
FOOD,2 food,"However, go for the ambience, and consider the food just a companion for a trip across the world!"
QUALITY,2 food,"However, go for the ambience, and consider the food just a companion for a trip across the world!"
RESTAURANT,1 NEG,IT WAS HORRIBLE.
GENERAL,1 NEG,IT WAS HORRIBLE.
FOOD,1 pizza,The pizza was delivered cold and the cheese wasn't even fully melted!
QUALITY,1 pizza,The pizza was delivered cold and the cheese wasn't even fully melted!
FOOD,1 cheese,The pizza was delivered cold and the cheese wasn't even fully melted!
QUALITY,1 cheese,The pizza was delivered cold and the cheese wasn't even fully melted!
FOOD,1 NEG,It looked like shredded cheese partly done - still in strips.
QUALITY,1 NEG,It looked like shredded cheese partly done - still in strips.
RESTAURANT,1 NEG,This has got to be one of the most overrated restaurants in Brooklyn.
GENERAL,1 NEG,This has got to be one of the most overrated restaurants in Brooklyn.
FOOD,1 pizza,The pizza is overpriced and soggy.
QUALITY,1 pizza,The pizza is overpriced and soggy.
FOOD,1 pizza,The pizza is overpriced and soggy.
PRICES,1 pizza,The pizza is overpriced and soggy.
FOOD,3 ingredients,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
QUALITY,3 ingredients,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
FOOD,1 pizza,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
QUALITY,1 pizza,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
FOOD,1 crust,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
QUALITY,1 crust,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
RESTAURANT,1 NEG,"A big disappointment, all around."
GENERAL,1 NEG,"A big disappointment, all around."
FOOD,3 meals,I think I've had some the best meals of my life at minnow.
QUALITY,3 meals,I think I've had some the best meals of my life at minnow.
FOOD,3 seafood,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises."
QUALITY,3 seafood,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises."
DRINKS,3 wine list,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises."
STYLE_OPTIONS,3 wine list,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises."
FOOD,3 menu,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises."
STYLE_OPTIONS,3 menu,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises."
FOOD,3 ingredients,The combination of super-fresh ingredients in the dishes are unusual but really delicious.
QUALITY,3 ingredients,The combination of super-fresh ingredients in the dishes are unusual but really delicious.
RESTAURANT,3 NEG,Worth the trip from Manhattan.
GENERAL,3 NEG,Worth the trip from Manhattan.
FOOD,3 Pastrami,Best Pastrami I ever had and great portion without being ridiculous.
QUALITY,3 Pastrami,Best Pastrami I ever had and great portion without being ridiculous.
FOOD,3 portion,Best Pastrami I ever had and great portion without being ridiculous.
STYLE_OPTIONS,3 portion,Best Pastrami I ever had and great portion without being ridiculous.
FOOD,3 fried shrimp,My wife had the fried shrimp which are huge and loved it.
STYLE_OPTIONS,3 fried shrimp,My wife had the fried shrimp which are huge and loved it.
FOOD,3 fried shrimp,My wife had the fried shrimp which are huge and loved it.
QUALITY,3 fried shrimp,My wife had the fried shrimp which are huge and loved it.
RESTAURANT,3 place,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place."
GENERAL,3 place,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place."
RESTAURANT,3 place,This place is the most Japanese it can ever get.
MISCELLANEOUS,3 place,This place is the most Japanese it can ever get.
RESTAURANT,3 signs,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
MISCELLANEOUS,3 signs,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
FOOD,3 specials menus,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
STYLE_OPTIONS,3 specials menus,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
FOOD,3 food,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
QUALITY,3 food,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
SERVICE,3 waitstaff,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
GENERAL,3 waitstaff,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
RESTAURANT,3 place,This place is worth an one-hour drive.
GENERAL,3 place,This place is worth an one-hour drive.
RESTAURANT,3 NEG,"I am so coming back here again, as much as I can."
GENERAL,3 NEG,"I am so coming back here again, as much as I can."
RESTAURANT,3 Leon,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere."
GENERAL,3 Leon,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere."
AMBIENCE,3 Leon,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere."
GENERAL,3 Leon,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere."
FOOD,3 specials,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere."
QUALITY,3 specials,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere."
AMBIENCE,3 atmosphere,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere."
GENERAL,3 atmosphere,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere."
FOOD,3 French bistro fare,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere."
QUALITY,3 French bistro fare,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere."
SERVICE,3 staff,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story."
GENERAL,3 staff,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story."
DRINKS,2 wine,Decent wine at reasonable prices.
QUALITY,2 wine,Decent wine at reasonable prices.
DRINKS,3 wine,Decent wine at reasonable prices.
PRICES,3 wine,Decent wine at reasonable prices.
RESTAURANT,3 NEG,Have been dozens of times and never failed to enjoy the experience.
GENERAL,3 NEG,Have been dozens of times and never failed to enjoy the experience.
RESTAURANT,3 NEG,"Our teenage kids love it, too."
GENERAL,3 NEG,"Our teenage kids love it, too."
RESTAURANT,3 Zucchero Pomodori,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori."
GENERAL,3 Zucchero Pomodori,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori."
RESTAURANT,3 place,This is by far my favorite place in the neighborhood.
GENERAL,3 place,This is by far my favorite place in the neighborhood.
SERVICE,3 service,"The service is excellent, the decor is great, and the food is delicious and comes in large portions."
GENERAL,3 service,"The service is excellent, the decor is great, and the food is delicious and comes in large portions."
AMBIENCE,3 decor,"The service is excellent, the decor is great, and the food is delicious and comes in large portions."
GENERAL,3 decor,"The service is excellent, the decor is great, and the food is delicious and comes in large portions."
FOOD,3 food,"The service is excellent, the decor is great, and the food is delicious and comes in large portions."
QUALITY,3 food,"The service is excellent, the decor is great, and the food is delicious and comes in large portions."
FOOD,3 portions,"The service is excellent, the decor is great, and the food is delicious and comes in large portions."
STYLE_OPTIONS,3 portions,"The service is excellent, the decor is great, and the food is delicious and comes in large portions."
RESTAURANT,3 Gnocchi,I'm partial to the Gnocchi.
GENERAL,3 Gnocchi,I'm partial to the Gnocchi.
AMBIENCE,1 place,This place is incredibly tiny.
GENERAL,1 place,This place is incredibly tiny.
SERVICE,1 NEG,They refuse to seat parties of 3 or more on weekends.
GENERAL,1 NEG,They refuse to seat parties of 3 or more on weekends.
SERVICE,1 hostess,The hostess is rude to the point of being offensive.
GENERAL,1 hostess,The hostess is rude to the point of being offensive.
FOOD,1 food,The food was bland oily.
QUALITY,1 food,The food was bland oily.
RESTAURANT,1 NEG,I just don't understand all the hype...
GENERAL,1 NEG,I just don't understand all the hype...
FOOD,3 food,"We have been to this place many times, and always have great food, wine, and service."
QUALITY,3 food,"We have been to this place many times, and always have great food, wine, and service."
DRINKS,3 wine,"We have been to this place many times, and always have great food, wine, and service."
QUALITY,3 wine,"We have been to this place many times, and always have great food, wine, and service."
SERVICE,3 service,"We have been to this place many times, and always have great food, wine, and service."
GENERAL,3 service,"We have been to this place many times, and always have great food, wine, and service."
SERVICE,3 wait,"We were worried we would have trouble getting in, but somehow managed to have a short wait."
GENERAL,3 wait,"We were worried we would have trouble getting in, but somehow managed to have a short wait."
DRINKS,3 glass of wine,As always we had a great glass of wine while we waited.
QUALITY,3 glass of wine,As always we had a great glass of wine while we waited.
SERVICE,3 service,"When we sat, we got great and fast service."
GENERAL,3 service,"When we sat, we got great and fast service."
SERVICE,3 people,The people that work there are always so friendly you forget you are in New York sometimes.
GENERAL,3 people,The people that work there are always so friendly you forget you are in New York sometimes.
RESTAURANT,3 place,Make sure you try this place as often as you can.
