0,不错,质量,衣服,舒服,合适,穿着,好看,满意,面料,尺码,特别,物流,合身,大小,值得,舒适,很快,做工,效果,价格,款式,柔软,颜色,材质,感觉,上身,实惠,纯棉,布料,客服,适合,速度,版型,快递,手感,包装,卖家,暖和,发货,可爱,透气,帅气,精细,便宜,厚实,质感,态度,料子,京东,身上,服务,图片,色差,试穿,店家,描述,线头,轻薄,颜值,尺寸,正好,商家,品牌,划算,信号,标准,商品,正品,完美,宽松,时尚,样式,看着,放心,掉色,感受,总体,整体,漂亮,到货
实惠,14,22,7,7,4,5,3,3,1,1,1,1,4,1,8,1,2,2,3,46,2,0,0,0,1,0,0,1,1,1,1,1,0,2,1,0,6,3,0,0,2,0,1,7,1,0,0,1,1,0,2,0,1,0,2,2,0,0,0,0,0,3,1,2,0,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0
纯棉,16,19,21,37,4,10,6,5,9,3,2,2,2,2,0,3,0,2,0,1,1,4,1,2,0,0,1,0,2,1,7,0,0,1,3,0,0,0,0,7,0,0,0,2,1,2,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0
布料,25,6,9,28,4,9,6,6,0,2,2,1,3,3,6,5,3,7,2,0,3,11,2,2,1,1,1,2,0,0,1,0,2,2,1,1,0,1,2,3,1,1,1,0,5,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,1,2,1,1,0
客服,10,13,14,7,12,4,5,4,1,14,3,7,5,4,0,1,3,2,1,0,1,0,1,3,1,0,1,1,0,0,1,2,1,1,0,0,1,0,3,0,1,0,1,1,0,0,21,1,1,0,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1
适合,12,10,14,10,1,9,3,2,8,2,3,0,4,3,0,1,0,2,0,5,2,3,1,3,3,1,1,7,1,1,0,0,0,0,1,0,1,0,0,1,3,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0
速度,13,15,5,1,2,1,2,5,3,3,5,14,2,1,3,1,29,2,0,1,1,2,0,0,0,0,1,0,0,2,0,0,1,4,0,1,3,1,17,0,1,0,1,1,0,0,1,0,3,0,0,0,0,1,4,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2
版型,23,13,13,7,6,6,15,4,7,1,4,0,5,5,2,4,1,2,2,1,0,0,3,2,1,2,0,0,2,1,0,1,0,1,0,1,1,0,0,0,0,2,0,0,3,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0
快递,15,12,16,7,1,2,1,4,3,0,3,1,4,1,2,1,26,0,1,5,1,1,0,0,0,1,2,1,2,1,0,4,1,0,0,5,2,0,1,0,0,0,0,1,2,0,5,0,2,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0
手感,27,5,17,18,2,6,3,4,6,2,2,1,1,0,3,1,0,5,3,1,1,6,1,2,2,1,1,3,1,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
包装,11,9,7,5,2,2,9,7,2,0,4,7,2,0,1,3,2,0,1,1,2,1,2,1,1,0,0,0,1,0,0,1,1,5,0,0,2,0,1,2,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,2,2,1,0,1,0,2,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0
卖家,8,14,8,2,1,0,4,4,2,1,8,3,0,1,2,0,2,2,0,2,0,0,0,0,0,0,6,0,0,1,1,3,1,2,1,2,0,0,3,0,1,0,2,1,0,0,3,0,0,0,8,0,0,0,1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
暖和,11,14,14,12,10,10,5,4,2,1,5,1,1,6,3,0,2,1,0,2,1,0,1,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
发货,11,11,7,1,5,4,1,4,2,6,5,4,2,1,1,1,19,1,0,0,0,0,1,2,1,0,0,0,2,3,0,17,0,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0
可爱,3,7,25,11,1,1,6,3,0,1,1,0,1,1,0,2,1,2,0,0,2,7,1,1,0,0,0,7,3,0,1,0,0,0,2,2,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
透气,10,5,11,17,2,4,3,1,7,1,1,1,0,2,2,11,1,2,1,1,0,6,1,3,2,0,2,0,1,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0
帅气,11,10,22,4,5,7,3,2,2,4,4,1,4,3,1,1,0,1,1,2,3,1,0,2,1,2,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
精细,9,8,7,6,3,2,0,2,6,2,1,2,0,1,3,4,1,38,0,1,1,1,1,2,0,0,1,0,1,1,0,1,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1
便宜,13,12,3,4,0,2,4,2,1,0,4,3,0,0,5,1,2,0,0,12,4,0,0,1,0,0,7,2,0,1,2,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
厚实,15,17,14,1,4,1,2,5,6,3,1,2,1,1,2,2,3,0,0,1,2,1,0,4,1,1,1,1,5,0,1,0,3,2,0,0,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
质感,19,4,7,7,2,5,4,3,8,2,3,2,1,1,0,1,1,4,4,1,2,2,1,2,2,2,0,2,2,0,0,0,1,0,0,1,0,2,0,1,0,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
态度,5,11,8,1,2,0,2,4,2,1,2,5,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,21,1,1,0,5,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
料子,12,5,7,20,5,5,4,3,0,2,3,1,1,2,4,1,0,1,0,1,0,2,0,0,3,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
京东,4,7,4,2,3,0,1,3,0,2,4,10,0,0,2,0,6,0,0,1,0,0,0,0,0,0,1,1,0,1,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
身上,3,6,9,15,4,1,3,1,7,1,3,1,5,1,0,1,0,0,3,0,2,3,4,1,1,1,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
服务,11,10,2,1,1,0,0,6,1,3,5,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
图片,13,11,5,7,1,2,6,4,3,0,1,2,0,0,2,2,2,0,0,0,2,1,5,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
色差,6,8,5,8,2,1,4,2,2,3,3,0,0,0,0,1,0,3,2,1,1,2,5,1,0,4,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,2,2,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0
试穿,7,3,4,5,11,0,1,7,3,1,0,4,6,6,0,1,2,1,5,1,1,1,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,1,0,1
店家,4,9,4,5,2,2,0,4,2,3,2,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0,1,0,3,0,0,0,0,2,0,0,6,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
描述,4,10,7,2,2,2,0,6,1,0,1,2,0,3,3,0,2,0,2,2,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,15,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
线头,6,8,9,6,3,2,2,2,4,3,1,0,2,1,1,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
轻薄,4,4,6,10,1,7,2,1,0,0,0,0,1,0,0,6,1,0,0,1,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
颜值,8,6,2,4,1,0,5,3,3,0,9,1,1,0,0,1,0,1,1,1,1,0,0,5,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
尺寸,6,6,5,8,15,4,0,3,2,1,0,2,4,7,0,3,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
正好,5,3,4,6,2,2,1,1,1,8,0,0,1,7,1,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商家,3,6,4,3,1,1,0,4,1,1,2,3,1,0,2,0,2,0,1,3,1,0,0,0,0,2,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,6,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
品牌,5,6,6,2,1,3,1,1,2,0,0,0,1,0,5,2,0,1,0,1,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0
划算,8,5,6,2,1,1,2,0,0,0,3,2,2,1,2,1,2,1,0,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
信号,3,2,7,7,1,3,0,5,3,0,1,1,0,1,4,0,0,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
标准,3,6,1,5,4,5,0,1,3,24,2,0,1,1,4,1,0,1,0,0,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商品,9,4,0,2,4,0,0,5,0,0,0,6,1,0,0,0,5,1,0,2,3,0,1,0,0,0,1,0,0,2,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
正品,4,4,2,3,1,2,5,0,1,1,2,0,0,1,3,0,1,2,0,2,0,2,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
完美,1,3,3,2,2,1,4,1,2,1,2,0,0,0,4,1,0,2,1,2,2,0,0,0,1,0,1,0,3,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
宽松,4,5,1,6,3,3,0,3,1,3,1,1,0,2,2,5,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
时尚,3,3,3,6,1,1,3,1,1,1,1,0,2,0,1,1,0,2,1,1,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
样式,5,3,10,1,3,1,11,1,1,0,0,2,1,3,2,2,2,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
看着,8,3,5,4,0,3,4,2,1,1,0,0,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
放心,4,8,4,4,0,0,1,1,2,0,0,0,0,0,2,0,0,3,3,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
掉色,4,4,2,4,0,0,0,1,2,2,0,0,0,0,0,1,0,1,1,0,1,2,1,0,1,2,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
感受,2,0,0,11,1,1,0,1,0,3,0,0,3,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
总体,6,1,3,1,0,1,2,3,2,2,0,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
整体,11,2,1,4,2,0,0,1,1,0,0,1,0,1,1,1,1,0,2,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
漂亮,3,6,4,2,2,2,2,1,0,1,0,0,1,0,2,2,1,0,0,0,2,0,1,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,0,0
到货,5,2,4,1,1,0,1,4,1,0,1,1,0,0,0,2,3,1,1,1,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
