labels	key_words	review
3food	pizza	"Right off the L in Brooklyn this is a nice cozy place with good pizza."
3ambience	pizza	"Right off the L in Brooklyn this is a nice cozy place with good pizza."
1service	NEGATIVE	"I've never been treated so rudely."
3anecdotes/miscellaneous	NEGATIVE	"I'll be back soon."
3food	pre-theater menu	"Le Pere Pinard has a $15 pre-theater menu that is outstanding."
3anecdotes/miscellaneous	NEGATIVE	"Went inside and I started to get excited."
1service	delivery	"I also ordered for delivery and the restaurant forgot half the order."
1service	server	"Our server checked on us maybe twice during the entire meal."
3anecdotes/miscellaneous	NEGATIVE	"However, it is jus too good to not praise it."
3anecdotes/miscellaneous	NEGATIVE	"We have been to Montparnasse many times and return often for good reason."
1anecdotes/miscellaneous	scents	"The strong scents coming from the left and right of me negatively affected my taste buds."
3food	lobster sandwich	"We had the lobster sandwich and it was FANTASTIC."
3anecdotes/miscellaneous	NEGATIVE	"It's somewhere you can eat and be happy."
3anecdotes/miscellaneous	NEGATIVE	"If you wrote a bad review, it's because you don't understand what Rao's is all about."
1service	check	"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!"
3anecdotes/miscellaneous	NEGATIVE	"but overall i give it a 10"
3food	Spider Roll	"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
3price	Spider Roll	"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
3food	Deep Fried Skewers	"Deep Fried Skewers are good and still rare to find in NYC."
1service	reservations	"I have tried to make reservations, but both times, the hostess didn't have my name."
3food	rice dishes	"I also recommend the rice dishes or the different varieties of congee (rice porridge)."
3food	tuna tartar appetizer	"Their tuna tartar appetizer is to die for."
3anecdotes/miscellaneous	NEGATIVE	"This was one of the BEST restaurants I've ever been to."
1anecdotes/miscellaneous	NEGATIVE	"This restaurant used to be pretty decent."
3food	Food	"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
3food	wine	"If you love wine and cheese and delicious french fare, you'll love Artisanal!"
3food	Indian food	"I love Indian food and consider myself to be quite an expert on it."
2food	baby pizzas	"Some baby pizzas get their wish."
3food	NEGATIVE	"Plenty of choices to make your own creation."
1ambience	NEGATIVE	"It was tiny and I felt like I was eating in someone's living room."
2anecdotes/miscellaneous	NEGATIVE	"I was there on sat."
3anecdotes/miscellaneous	waiting	"Overall A oh ya even though there is waiting it is deff worth it"
1service	waiting	"Overall A oh ya even though there is waiting it is deff worth it"
3food	lava cake dessert	"The lava cake dessert was incredible and I recommend it."
3anecdotes/miscellaneous	baby pizzas	"VT is what baby pizzas hope to be when they grow up."
1food	service	"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
1service	service	"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
3food	food	"Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS."
3price	food	"Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS."
1anecdotes/miscellaneous	table	"The last time I went we were seated at a table in a corridor next to the kitchen."
3food	selection of wines	"good selection of wines ranging from affordable to high end."
4price	selection of wines	"good selection of wines ranging from affordable to high end."
3ambience	Italian decor	"Nice restaurant overall, with classic upscale Italian decor."
1food	food	"Not impressed with the food."
3anecdotes/miscellaneous	dining experience	"The entire dining experience was wonderful!"
3food	wine selection	"The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town."
3anecdotes/miscellaneous	wine selection	"The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town."
3service	Service	"Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress."
3food	panang duck	"Order the panang duck, it's fantastic."
4food	Food	"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders."
4service	service	"Other than the crappy service from two individuals, it's great."
3anecdotes/miscellaneous	NEGATIVE	"What more can you ask for?"
2anecdotes/miscellaneous	NEGATIVE	"Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment."
3food	Indian	"They have authentic Indian at amazin prices."
3price	Indian	"They have authentic Indian at amazin prices."
3service	NEGATIVE	"You are treated just like royality."
4ambience	NEGATIVE	"There's nice and quiet, small but enough for 6 (or more)."
3ambience	Ambiance	"Ambiance- relaxed and stylish."
1anecdotes/miscellaneous	NEGATIVE	"I've never felt more unwelcome than last month at Jimmy's Bronx Cafe."
3food	BBQ Salmon	"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck."
1food	ingredients	"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
1ambience	NEGATIVE	"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is)."
3food	kababs	"and yes Dal Bukhara is so dam good and so are all the kababs."
3anecdotes/miscellaneous	eating	"I look forward to eating here again"
3food	taste	"I've been coming here as a child and always come back for the taste."
3food	meal	"Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price."
3ambience	meal	"Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price."
3price	meal	"Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price."
3food	glass of prosecco	"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy."
1food	Food	"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene."
3food	food	"The food always tastes fresh and served promptly."
3service	food	"The food always tastes fresh and served promptly."
2anecdotes/miscellaneous	NEGATIVE	"I know because I live nearby."
3food	pizza	"The pizza here is delicious."
1anecdotes/miscellaneous	NEGATIVE	"My entire family was horrified."
2anecdotes/miscellaneous	NEGATIVE	"On a monthly basis my friends and I get together and have a girls night out."
3food	Pizza	"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!"
3service	Pizza	"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!"
3food	chinese food	"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away."
2service	service	"But who says Murray's is anything about service."
1food	food	"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food."
3anecdotes/miscellaneous	food	"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food."
3anecdotes/miscellaneous	NEGATIVE	"I have NEVER been disappointed in the Red Eye."
3food	chef	"Hats off to the chef."
1anecdotes/miscellaneous	NEGATIVE	"This should have been done in a back room - away from customers."
3anecdotes/miscellaneous	Service	"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience."
1service	Service	"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience."
2anecdotes/miscellaneous	NEGATIVE	"Glad you have the luxury to throw out paying customers."
3food	pizza	"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's."
3food	place	"Its an excellent place to relax and the food is one of the best in the city of New York."
3ambience	place	"Its an excellent place to relax and the food is one of the best in the city of New York."
3service	service	"service is friendly, and never had a problem walking in and getting a table."
4ambience	atmosphere	"The atmosphere was crowded but it was a great bistro-type vibe."
3anecdotes/miscellaneous	NEGATIVE	"Check it out"
1service	waitress	"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong."
1anecdotes/miscellaneous	NEGATIVE	"Don't go."
1food	food	"The food was bland oily."
2anecdotes/miscellaneous	NEGATIVE	"But they do."
3food	prices	"What is even better, is that the prices are very affordable as well, and the food is really good."
3price	prices	"What is even better, is that the prices are very affordable as well, and the food is really good."
4food	fish	"The fish is fresh but the variety of fish is nothing out of ordinary."
2anecdotes/miscellaneous	NEGATIVE	"Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES)."
2anecdotes/miscellaneous	NEGATIVE	"Suan has challenged this loyalty."
3food	pesto pizza	"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine."
3service	bartender	"And Kruno, the beverage manager is the best bartender I have yet to come across."
3ambience	Ambiance	"Ambiance and music funky, which I enjoy."
3food	food	"The food, drinks and service are clearly among the best in the city."
3service	food	"The food, drinks and service are clearly among the best in the city."
2anecdotes/miscellaneous	food	"I went there in late afternoon for some bite size food and refleshment with my date."
3price	NEGATIVE	"It's a really great deal, considering we got full off of four dollars."
3food	ambiance	"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance."
3ambience	ambiance	"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance."
3service	ambiance	"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance."
2anecdotes/miscellaneous	NEGATIVE	"Went with mommy (the only person who could afford taking me here)."
2anecdotes/miscellaneous	NEGATIVE	"My friends and I were on vacation in NY and was referred to Chance by a friend."
1service	waitress	"Last time I went here, the waitress didn't come back after taking our order."
3food	tandoori salmon	"Try the tandoori salmon!"
3anecdotes/miscellaneous	NEGATIVE	"I am completely hooked on this place, it is ridiculous."
1anecdotes/miscellaneous	atmosphere	"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience."
3ambience	atmosphere	"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience."
3service	space	"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants."
1ambience	space	"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants."
3anecdotes/miscellaneous	NEGATIVE	"Have recommended the place to friends, always gets good response."
3anecdotes/miscellaneous	NEGATIVE	"We will return many times for this oasis in mid-town."
3ambience	atmorphere	"I love the atmorphere @ peep!"
3anecdotes/miscellaneous	NEGATIVE	"Enjoy!"
2anecdotes/miscellaneous	NEGATIVE	"We weren't!"
3anecdotes/miscellaneous	NEGATIVE	"This is one of my favorite restaurants and it is not to be missed."
2anecdotes/miscellaneous	NEGATIVE	"(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico)."
1anecdotes/miscellaneous	NEGATIVE	"It could have been handled better."
3service	service	"The service was attentive and her suggestions of menu items was right on the mark."
3food	three course meal	"The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of."
2anecdotes/miscellaneous	NEGATIVE	"Please be aware that it's CASH or AMEX only!"
3food	Pizza	"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!"
1ambience	NEGATIVE	"It's a rather cramped and busy restaurant and it closes early."
1food	environment	"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could."
1service	environment	"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could."
3ambience	environment	"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could."
3food	crawfish boiled	"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well."
2anecdotes/miscellaneous	reservation	"I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion."
3food	NEGATIVE	"They were served warm and had a soft fluffy interior."
1food	table	"What came to our table was burned beyond recognition and stringy."
1food	Pad Thai	"I had the Pad Thai and the noodles were sticky."
2anecdotes/miscellaneous	delivered	"So I've never actually been to M proper, but I've had it delivered a few times."
3price	values for your money	"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money."
3food	lunch	"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison."
1service	hostess	"The hostess is rude to the point of being offensive."
3food	food	"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!"
1service	food	"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!"
1ambience	corridor	"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees."
3food	food	"The food is great."
3food	steaks	"Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill."
3price	Lunch	"Lunch came with pickels and slaw, no extra charge."
3food	wine	"Decent wine at reasonable prices."
3price	wine	"Decent wine at reasonable prices."
3service	delivered	"All conveniently delivered right to the door."
3food	wine by the glass	"even the wine by the glass was good."
3anecdotes/miscellaneous	NEGATIVE	"Nice Family owned traditional restaurant."
2anecdotes/miscellaneous	price	"would have rather tried terrace in the sky or water club for that price"
1price	price	"would have rather tried terrace in the sky or water club for that price"
3food	dish	"This dish is my favorite and I always get it when I go there and never get tired of it."
3food	Change Mojito	"I also ordered the Change Mojito, which was out of this world."
2service	service	"Okay service."
3food	food	"The only thing more wonderful than the food (which is exceptional) is the service."
3service	food	"The only thing more wonderful than the food (which is exceptional) is the service."
3anecdotes/miscellaneous	NEGATIVE	"We were very pleasantly surprised."
1food	food	"The food was just awful, ATROCIOUS actually."
1anecdotes/miscellaneous	NEGATIVE	"I will never visit this restaurant again."
1food	soup for the udon	"The soup for the udon was soy sauce and water."
3food	anti-pasta	"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains."
3food	waitress	"The waitress suggested glasses of wine that went very well with the food."
3service	waitress	"The waitress suggested glasses of wine that went very well with the food."
2anecdotes/miscellaneous	NEGATIVE	"(or sister, in my case!)."
2anecdotes/miscellaneous	NEGATIVE	"I've eaten at many different Indian restaurants."
3food	food	"They might be all business at the counter when you give your order, but their food says I love you."
1service	food	"They might be all business at the counter when you give your order, but their food says I love you."
3food	sushi	"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura."
3food	plain pizza	"Try their plain pizza with fresh garlic or eggplant."
1anecdotes/miscellaneous	NEGATIVE	"Don't go there!"
4service	servers	"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention."
1anecdotes/miscellaneous	getting a table	"Good luck getting a table."
2anecdotes/miscellaneous	NEGATIVE	"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect."
1anecdotes/miscellaneous	NEGATIVE	"Don't look down your nose at me like that..."
3anecdotes/miscellaneous	NEGATIVE	"Planet Thai is great!"
1service	service	"The service is awful."
1anecdotes/miscellaneous	NEGATIVE	"Just don't do it."
1anecdotes/miscellaneous	NEGATIVE	"Just ignore the trendy wannabes."
3food	takeout menu	"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!"
3food	NEGATIVE	"Trust me, it will be great, and all of it will be devoured in no time."
2anecdotes/miscellaneous	NEGATIVE	"My girlfiends and I ate at O.G. again last night."
3anecdotes/miscellaneous	NEGATIVE	"I wish they had one near my office- I would go everyday."
3anecdotes/miscellaneous	NEGATIVE	"Finally!"
1price	NEGATIVE	"Amma has the worst value for money I have experienced in NYC over the past 2 years."
2anecdotes/miscellaneous	Thai food	"I am not the most experienced person when it comes to Thai food, but my friend who took me there is."
1price	NEGATIVE	"I think this would be a pretty good spot if it were not so overpriced and overrated."
3service	hostess	"Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes."
3food	pizza	"The pizza is good though."
3price	bottles of wine	"bottles of wine are cheap and good."
3food	bottles of wine	"bottles of wine are cheap and good."
3anecdotes/miscellaneous	NEGATIVE	"You will not be disapointed at all."
1anecdotes/miscellaneous	NEGATIVE	"Walk-ins are risky too."
3food	beers	"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini."
1service	dinner special	"They didn't give us the dinner special until we asked for it."
3food	crabmeat lasagna	"You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert."
3food	pasta dishes	"word of advice, save room for pasta dishes and never leave until you've had the tiramisu."
3service	service	"Very good service and very good prices."
3price	service	"Very good service and very good prices."
3anecdotes/miscellaneous	lunch	"I recently went to this restaurant with some co-workers for lunch and had an amazing time."
3service	service	"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs."
3food	bagel	"Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY."
3food	food	"Our food was great too!"
3anecdotes/miscellaneous	NEGATIVE	"Open late (well as late as I ever got there and I'm a night person)"
1service	servers	"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue."
3anecdotes/miscellaneous	food	"Get your food to go, find a bench, and kick back with a plate of dumplings."
3food	Filet Mignon	"Please try the Filet Mignon, its just the most tender piece ever."
3food	NEGATIVE	"Everything we had was pretty good, but we have only been there once."
1anecdotes/miscellaneous	sangria	"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it."
1anecdotes/miscellaneous	NEGATIVE	"Something about them being busy with holiday party's."
3food	sake menu	"The sake menu should not be overlooked!"
3anecdotes/miscellaneous	NEGATIVE	"I would highly recommend."
3anecdotes/miscellaneous	NEGATIVE	"This place is great."
3food	drinks	"the drinks are amazing and half off till 8pm."
3price	drinks	"the drinks are amazing and half off till 8pm."
3food	beef cubes	"i've been back to nha trang literally a hundred times for the beef cubes - they're that good."
