labels	key_words	review
3RESTAURANT#GENERAL	place	"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart."
2FOOD#QUALITY	food	"the food is decent."
1SERVICE#GENERAL	service	"however, it's the service that leaves a bad taste in my mouth."
1SERVICE#GENERAL	waiter	"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check."
1SERVICE#GENERAL	NULL	"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience."
1RESTAURANT#GENERAL	NULL	"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. "
1RESTAURANT#MISCELLANEOUS	NULL	"the last time i walked by it looked pretty empty. hmmm."
3RESTAURANT#GENERAL	place	"This place has got to be the best japanese restaurant in the new york area."
3RESTAURANT#GENERAL	NULL	"I had a great experience."
3FOOD#QUALITY	Food	"Food is great."
3SERVICE#GENERAL	Service	"Service is top notch."
3RESTAURANT#GENERAL	NULL	"I have been going back again and again."
3FOOD#QUALITY	sea urchin	"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose."
3FOOD#QUALITY	NULL	"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery."
3FOOD#QUALITY	sushi	"The sushi seemed pretty fresh and was adequately proportioned."
3FOOD#STYLE_OPTIONS	rice to fish ration	"The rice to fish ration was also good--they didn't try to overpack the rice."
3FOOD#QUALITY	half price sushi deal	"We took advanatage of the half price sushi deal on saturday so it was well worth it."
3RESTAURANT#MISCELLANEOUS	NULL	"Surprisingly nothing could be further from the truth."
3RESTAURANT#MISCELLANEOUS	crowd	"In the evening, this place attracted a well dressed, with it, NY crowd."
3FOOD#QUALITY	food	"The food was well prepared and the service impecable."
3RESTAURANT#GENERAL	NULL	"I'm going back."
3AMBIENCE#GENERAL	NULL	"Quite simply it's like stepping out of Manhattan and into a haven of tranquility."
3FOOD#QUALITY	Prix Fixe menu	"The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality)."
3RESTAURANT#GENERAL	NULL	"I will be going back and heartily recommend it!"
3FOOD#QUALITY	NULL	"It is terrific, as is the value."
3FOOD#STYLE_OPTIONS	food	"$6 and there is much tasty food, all of it fresh and continually refilled."
3FOOD#QUALITY	dishes	"I am not a vegetarian but, almost all the dishes were great."
3RESTAURANT#GENERAL	NULL	"Go hungry and enjoy."
3FOOD#QUALITY	food	"The food here is rather good, but only if you like to wait for it."
3FOOD#QUALITY	somosas	"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
1SERVICE#GENERAL	service	"The service varys from day to day- sometimes they're very nice, and sometimes not."
1SERVICE#GENERAL	kitchen	"The kitchen however, is almost always slow."
1FOOD#QUALITY	food	"Also, specify if you like your food spicy- its rather bland if you don't."
3AMBIENCE#GENERAL	ambience	"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best."
3LOCATION#GENERAL	view	"If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer."
3SERVICE#GENERAL	service	"Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening."
3FOOD#QUALITY	lava cake dessert	"The lava cake dessert was incredible and I recommend it."
3AMBIENCE#GENERAL	Cosette	"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro."
3AMBIENCE#GENERAL	restaurant	"This tiny restaurant is as cozy as it gets, with that certain Parisian flair."
3FOOD#QUALITY	food	"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way."
3AMBIENCE#GENERAL	ambience	"However, go for the ambience, and consider the food just a companion for a trip across the world!"
1RESTAURANT#GENERAL	NULL	"IT WAS HORRIBLE."
1FOOD#QUALITY	pizza	"The pizza was delivered cold and the cheese wasn't even fully melted!"
1FOOD#STYLE_OPTIONS	NULL	"It looked like shredded cheese partly done - still in strips."
1RESTAURANT#GENERAL	NULL	"This has got to be one of the most overrated restaurants in Brooklyn."
1FOOD#QUALITY	pizza	"The pizza is overpriced and soggy."
3FOOD#QUALITY	ingredients	"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
1RESTAURANT#GENERAL	NULL	"A big disappointment, all around."
3FOOD#QUALITY	meals	"I think I've had some the best meals of my life at minnow."
3FOOD#QUALITY	seafood	"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises."
3FOOD#QUALITY	ingredients	"The combination of super-fresh ingredients in the dishes are unusual but really delicious."
3RESTAURANT#GENERAL	NULL	"Worth the trip from Manhattan."
3FOOD#QUALITY	Pastrami	"Best Pastrami I ever had and great portion without being ridiculous."
3FOOD#STYLE_OPTIONS	fried shrimp	"My wife had the fried shrimp which are huge and loved it."
3RESTAURANT#GENERAL	place	"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place."
3RESTAURANT#MISCELLANEOUS	place	"This place is the most Japanese it can ever get."
3RESTAURANT#MISCELLANEOUS	signs	"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
3RESTAURANT#GENERAL	place	"This place is worth an one-hour drive."
3RESTAURANT#GENERAL	NULL	"I am so coming back here again, as much as I can."
3RESTAURANT#GENERAL	Leon	"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere."
3SERVICE#GENERAL	staff	"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story."
2DRINKS#QUALITY	wine	"Decent wine at reasonable prices."
3RESTAURANT#GENERAL	NULL	"Have been dozens of times and never failed to enjoy the experience."
3RESTAURANT#GENERAL	NULL	"Our teenage kids love it, too."
3RESTAURANT#GENERAL	Zucchero Pomodori	"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori."
3RESTAURANT#GENERAL	place	"This is by far my favorite place in the neighborhood."
3SERVICE#GENERAL	service	"The service is excellent, the decor is great, and the food is delicious and comes in large portions."
3RESTAURANT#GENERAL	Gnocchi	"I'm partial to the Gnocchi."
1RESTAURANT#MISCELLANEOUS	place	"This place is incredibly tiny."
1SERVICE#GENERAL	NULL	"They refuse to seat parties of 3 or more on weekends."
1SERVICE#GENERAL	hostess	"The hostess is rude to the point of being offensive."
1FOOD#QUALITY	food	"The food was bland oily."
1RESTAURANT#GENERAL	NULL	"I just don't understand all the hype..."
3FOOD#QUALITY	food	"We have been to this place many times, and always have great food, wine, and service."
3SERVICE#GENERAL	wait	"We were worried we would have trouble getting in, but somehow managed to have a short wait."
3DRINKS#QUALITY	glass of wine	"As always we had a great glass of wine while we waited."
3SERVICE#GENERAL	service	"When we sat, we got great and fast service."
3SERVICE#GENERAL	people	"The people that work there are always so friendly you forget you are in New York sometimes."
3RESTAURANT#GENERAL	place	"Make sure you try this place as often as you can."
3RESTAURANT#GENERAL	restaurant	"This is a fun restaurant to go to."
3FOOD#QUALITY	pizza	"The pizza is yummy and I like the atmoshpere."
1FOOD#PRICES	pizza	"But the pizza is way to expensive."
1FOOD#PRICES	NULL	"A large is $20, and toppings are about $3 each."
1FOOD#QUALITY	lunch	"I went there for lunch and it was not as good as I expected from the reviews I read."
1FOOD#QUALITY	Sauce	"Sauce was watery and the food didn't have much flavor."
1RESTAURANT#GENERAL	NULL	"I don't think I would go again."
3RESTAURANT#GENERAL	place	"This place is great."
3SERVICE#GENERAL	NULL	"I had a huge group for my birthday and we were well taken care of."
3SERVICE#GENERAL	waitress	"The waitress was very patient with us and the food is phenomenal!"
3SERVICE#GENERAL	Service	"Service was prompt, friendly and great."
1RESTAURANT#PRICES	NULL	"Slightly on the pricey side but worth it!"
3FOOD#QUALITY	pizza	"Great pizza and fantastic service."
3SERVICE#GENERAL	wait	"There was a small wait, but shorter than I expected."
3LOCATION#GENERAL	block	"Located at the end of a magnificent block."
3AMBIENCE#GENERAL	NULL	"Very cozy and warm inside....."
3RESTAURANT#GENERAL	NULL	"I will be back!"
3FOOD#QUALITY	sushi	"This is the best sushi in new york city - hands down."
1AMBIENCE#GENERAL	place	"The place is small and cramped but the food is fantastic."
3FOOD#QUALITY	tuna of gari	"Get the tuna of gari."
3FOOD#QUALITY	sushi	"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too ."
3FOOD#STYLE_OPTIONS	menu	"With the great variety on the menu , I eat here often and never get bored ."
2AMBIENCE#GENERAL	atmosphere	"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down ."
3FOOD#QUALITY	food	"It's all about the food !!"
1RESTAURANT#MISCELLANEOUS	place	"first it took us a long time to find the place."
1FOOD#STYLE_OPTIONS	menu	"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section."
2FOOD#STYLE_OPTIONS	rolls	"those rolls were big, but not good and sashimi wasn't fresh."
1FOOD#QUALITY	NULL	"they were dry and disgusting, i didn't even finish my first piece."
3SERVICE#GENERAL	NULL	"Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came."
3FOOD#QUALITY	crunchy tuna	"Try the crunchy tuna, it is to die for."
3FOOD#QUALITY	NULL	"Try everything for that matter, it is all good."
3RESTAURANT#GENERAL	NULL	"I have been going there since it opened and I can't get enough."
3AMBIENCE#GENERAL	garden terrace	"First went here to enjoy their garden terrace."
3FOOD#QUALITY	food	"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed."
3FOOD#STYLE_OPTIONS	Steak Tartare	"The Steak Tartare is a great bet, they fix it for you at the table."
3AMBIENCE#GENERAL	open kitchen	"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm."
3DRINKS#STYLE_OPTIONS	wine selection	"Great wine selection, Gigondas is worth the price, and the house champagne is a great value."
2AMBIENCE#GENERAL	NULL	"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
3RESTAURANT#MISCELLANEOUS	place	"Have recommended the place to friends, always gets good response."
3FOOD#QUALITY	crust	"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!"
3RESTAURANT#MISCELLANEOUS	VT's	"I take all my NYC guests to VT's."
3LOCATION#GENERAL	neighborhood	"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!"
3RESTAURANT#GENERAL	NULL	"I've been there three times and have always had wonderful experiences."
3AMBIENCE#GENERAL	setting	"I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service."
3RESTAURANT#GENERAL	Mizu	"I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers."
1SERVICE#GENERAL	NULL	"Even after they overcharged me the last time I was there."
3FOOD#QUALITY	Spicy Scallop roll	"Make sure you have the Spicy Scallop roll.. ."
3FOOD#QUALITY	NULL	"it's delicious!"
3FOOD#QUALITY	Moules	"Moules were excellent, lobster ravioli was VERY salty!"
1SERVICE#GENERAL	maitre d'	"Took my mom for Mother's Day, and the maitre d' was pretty rude."
1SERVICE#GENERAL	NULL	"Told us to sit anywhere, and when we sat he said the table was reserved."
1SERVICE#GENERAL	NULL	"Stepped on my foot on the SECOND time he reached over me to adjust lighting."
1FOOD#STYLE_OPTIONS	dessert	"Tiny dessert was $8.00...just plain overpriced for what it is."
3DRINKS#QUALITY	drinks	"The drinks are always welll made and wine selection is fairly priced."
3FOOD#QUALITY	chef's specials	"Try their chef's specials-- they are to die for."
2SERVICE#GENERAL	Service	"Service is not exactly five star, but thats not really a big deal."
3AMBIENCE#GENERAL	Downstairs lounge	"Downstairs lounge is always a good attraction"
3AMBIENCE#GENERAL	Raga's	"Raga's is a romantic, cozy restaurant."
3FOOD#STYLE_OPTIONS	exotic food	"The exotic food is beautifully presented and is a delight in delicious combinations."
3FOOD#PRICES	NULL	"It is also extremely well priced."
3SERVICE#GENERAL	staff	"The staff is incredibly helpful and attentive."
3DRINKS#STYLE_OPTIONS	bar	"The bar is very well stocked with interesting beers and well priced wines."
3RESTAURANT#GENERAL	NULL	"This is one of my favorite restaurants and it is not to be missed."
3RESTAURANT#GENERAL	NULL	"Your friends will thank you for introducing them to this gem!"
1RESTAURANT#GENERAL	Leon	"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong."
1SERVICE#GENERAL	waitress	"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no..."
1SERVICE#GENERAL	NULL	"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. "
1SERVICE#GENERAL	NULL	"Such a disappointment..."
1SERVICE#GENERAL	service	"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one"
3RESTAURANT#GENERAL	Jekyll and Hyde	"I had a grat time at Jekyll and Hyde!"
3RESTAURANT#GENERAL	NULL	"I loved everythig about it-especially the shows and actors."
3SERVICE#GENERAL	server	"Our server was very helpful and friendly."
3RESTAURANT#MISCELLANEOUS	NULL	"I am bringing my whole family back next time."
3FOOD#QUALITY	food	"The food was good too."
3FOOD#QUALITY	tuna	"The tuna and wasabe potatoes are excellent."
3LOCATION#GENERAL	outdoor atmosphere	"The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful."
2AMBIENCE#GENERAL	NULL	"Inside is a little cramped, but to be expected."
3SERVICE#GENERAL	Service	"Service was prompt and courteous."
3RESTAURANT#GENERAL	NULL	"This was a repeat visit and we'll definitely be back again."
3SERVICE#GENERAL	service	"Great service, great food."
2RESTAURANT#PRICES	NULL	"Prices are in line."
1LOCATION#GENERAL	NULL	"But too far east!"
3FOOD#QUALITY	pizza	"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's."
1FOOD#STYLE_OPTIONS	appetizer selection	"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu."
1FOOD#QUALITY	NULL	"Also, because it is so thin, it gets cold very quickly and its not that filling."
1SERVICE#GENERAL	Wait staff	"Wait staff is blantently unappreciative of your business but its the best pie on the UWS!"
3FOOD#QUALITY	salad	"By far the best salad I have had in a fast food restaurant."
3FOOD#QUALITY	dining	"fine dining restaurant quality."
3FOOD#STYLE_OPTIONS	NULL	"Over 100 different choices to create your own."
3RESTAURANT#GENERAL	NULL	"A must try!"
3RESTAURANT#GENERAL	restaurant	"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT."
3FOOD#QUALITY	NULL	"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater."
3FOOD#QUALITY	chicken pot pie	"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm."
3RESTAURANT#GENERAL	NULL	"With so many poor experiences to be had in the theater district, is truly an excellent find!"
3RESTAURANT#GENERAL	NULL	"We will return many times for this oasis in mid-town."
3SERVICE#GENERAL	staff	"The staff is no nonsense."
3FOOD#STYLE_OPTIONS	food	"The food options rule."
3FOOD#QUALITY	bagels	"When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else."
3RESTAURANT#MISCELLANEOUS	1st Ave spot	"Worth visiting the 1st Ave spot because it is the original store."
3FOOD#QUALITY	Uni Hand roll	"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!"
3DRINKS#STYLE_OPTIONS	sake menu	"The sake menu should not be overlooked!"
3RESTAURANT#GENERAL	NULL	"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city."
3FOOD#QUALITY	lobster teriyaki	"Try the lobster teriyaki and the rose special roll."
3SERVICE#GENERAL	Service	"Service was very good - prompt, attentive and non-intrusive."
3FOOD#QUALITY	Food	"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience)."
3DRINKS#STYLE_OPTIONS	Wine list selection	"Wine list selection is good and wine-by-the-glass was generously filled to the top."
3AMBIENCE#GENERAL	Traditional French decour	"Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation."
3RESTAURANT#GENERAL	Cafe Spice	"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square."
2SERVICE#GENERAL	Service	"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. "
3SERVICE#GENERAL	Seating	"Seating is always prompt, though the restaurant does fill up in the evening."
3FOOD#QUALITY	Food	"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders."
2SERVICE#GENERAL	NULL	"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time."
3AMBIENCE#GENERAL	decor	"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date."
3RESTAURANT#GENERAL	Red Eye	"I have NEVER been disappointed in the Red Eye."
3AMBIENCE#GENERAL	live jazz band	"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad."
3FOOD#QUALITY	meal	"It's simply the best meal in NYC."
3RESTAURANT#GENERAL	Red Eye Grill	"You cannot go wrong at the Red Eye Grill."
3RESTAURANT#GENERAL	restaurant	"If we were to move from the upper east side, we would genuinely miss this restaurant."
2AMBIENCE#GENERAL	restaurant	"The restaurant is cute but not upscale."
3FOOD#QUALITY	food	"The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes."
3RESTAURANT#GENERAL	NULL	"I would highly recommend it."
3RESTAURANT#GENERAL	NULL	"It's one of our favorite places to eat in NY."
3RESTAURANT#GENERAL	Jekyll and hyde Pub	"We had a great time at the Jekyll and hyde Pub last night."
3RESTAURANT#GENERAL	bar	"After really enjoying ourselves at the bar we sat down at a table and had dinner."
3SERVICE#GENERAL	server	"The server was really cool and served us our food and drinks with a smile."
3AMBIENCE#GENERAL	decor	"The place's decor and hidden bathrooms made for a good laugh."
3RESTAURANT#GENERAL	restaurant	"I highly recommend visiting this restaurant and having dinner and drinks!"
3RESTAURANT#MISCELLANEOUS	place	"If you are the type of person who likes being scared and entertained, this is a great place to go and eat."
3RESTAURANT#GENERAL	Jekyll and Hyde Pub	"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic."
3DRINKS#STYLE_OPTIONS	beers	"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini."
3AMBIENCE#GENERAL	NULL	"The entertainment was great they have shows that go on through out the dinner."
3RESTAURANT#GENERAL	place	"Please take my advice, go and try this place."
3RESTAURANT#GENERAL	NULL	"You will not be disapointed at all."
3RESTAURANT#GENERAL	NULL	"We were not dissappointed in the least bit by this little gem."
3FOOD#STYLE_OPTIONS	bagel	"The bagel was huge."
3FOOD#QUALITY	NULL	"They were served warm and had a soft fluffy interior."
1FOOD#STYLE_OPTIONS	bagel	"The workers there also absolutely load the bagel with cream cheese (gets a little messy)."
3RESTAURANT#GENERAL	NULL	"I loved it and would HIGHLY RECOMMEND."
3FOOD#QUALITY	food	"This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was."
3FOOD#QUALITY	lobster roll	"I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster."
3FOOD#QUALITY	pizza	"Other guests enjoyed pizza, santa fe chopped salad and fish and chips."
3FOOD#QUALITY	food	"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service."
3SERVICE#GENERAL	staff	"All the staff is absolutely professional!! "
3SERVICE#GENERAL	NULL	"But they do."
3SERVICE#GENERAL	NULL	"(that is A MUST, but not every restaurant can do...) "
3AMBIENCE#GENERAL	NULL	"There's nice and quiet, small but enough for 6 (or more)."
1RESTAURANT#GENERAL	restaurant	"This restaurant was way overhyped."
1FOOD#QUALITY	chow fun and chow see	"My chow fun and chow see was really bland and oily."
1FOOD#QUALITY	NULL	"Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland."
2FOOD#QUALITY	scallion pancakes	"The scallion pancakes and fried dumplings were nothing out of the ordinary."
3SERVICE#GENERAL	service	"The service was the only thing good about this restaurant."
1AMBIENCE#GENERAL	NULL	"It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor."
1RESTAURANT#GENERAL	NULL	"I definitely wouldn't go back."
3FOOD#QUALITY	pad penang	"Their pad penang is delicious and everything else is fantastic."
3RESTAURANT#PRICES	NULL	"The price is reasonable although the service is poor."
3RESTAURANT#GENERAL	fresh restaurant	"fresh restaurant was amazing........ food was delicious and of course fresh."
3AMBIENCE#GENERAL	NULL	"great for a romantic evening, or a fun evening with friends..."
3RESTAURANT#GENERAL	NULL	"I will be going back very soon."
3RESTAURANT#GENERAL	NULL	"keep up the good work."
3FOOD#QUALITY	chef	"Hats off to the chef."
3RESTAURANT#GENERAL	NULL	"It was wonderful."
3FOOD#QUALITY	salads	"the salads are delicious, both refreshing and very spicy."
3FOOD#QUALITY	Pam's special fried fish	"We had Pam's special fried fish and it was amazing."
2FOOD#STYLE_OPTIONS	NULL	"too large for just two people but nothing was left."
3AMBIENCE#GENERAL	vibe	"Great vibe, lots of people."
3FOOD#QUALITY	NULL	"My husbands was perfect, my was well done and dry."
3AMBIENCE#GENERAL	atmosphere	"I didn't complain, I liked the atmosphere so much."
3RESTAURANT#GENERAL	NULL	"On a hot day it was fabulous to stop in and enjoy lunch."
3AMBIENCE#GENERAL	Ambience	"Ambience is so cute and quaint, good for business although we were there on vacation."
3FOOD#QUALITY	Salads	"Salads were fantastic."
3FOOD#QUALITY	salads	"Although we were looking for regular lettuce and some walnuts the salads we got were great."
3FOOD#QUALITY	Ingredients	"Ingredients are organic which is a real plus for me."
3RESTAURANT#GENERAL	NULL	"We will be back."
3FOOD#QUALITY	sushi	"This is some really good, inexpensive sushi."
3FOOD#STYLE_OPTIONS	spicy Tuna roll	"The spicy Tuna roll is huge and probably the best that I've had at this price range."
3FOOD#QUALITY	Yellowtail	"The Yellowtail was particularly good as well."
1FOOD#STYLE_OPTIONS	all you can eat deal	"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu."
3RESTAURANT#GENERAL	place	"In any event, this is a place I'll be sure to stop by again when I'm in this part of town."
3RESTAURANT#GENERAL	Big Wong	"Big Wong gets big Ups for a fine establishment."
3RESTAURANT#GENERAL	NULL	"They have it all -- great price, food, and service."
1AMBIENCE#GENERAL	atmosphere	"The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can."
3SERVICE#GENERAL	NULL	"The food is prepared quickly and efficiently."
3FOOD#PRICES	NULL	"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each)."
3SERVICE#GENERAL	takeout	"The takeout is great too since they give high quality tupperware as well."
3RESTAURANT#MISCELLANEOUS	place	"This place is always very crowded and popular."
3FOOD#QUALITY	Caesar Salad	"Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty."
3SERVICE#GENERAL	NULL	"We both opted for a pasta dish and they were served timely and fresh."
3FOOD#QUALITY	tiramisu	"We concluded with tiramisu chocolate cake, both were delicious."
3RESTAURANT#GENERAL	NULL	"We'd go back again"
3RESTAURANT#GENERAL	restaurant	"I recently went to this restaurant with some co-workers for lunch and had an amazing time."
3SERVICE#GENERAL	staff	"The staff was accomodating, the food was absolutely delicious and the place is lovely."
3SERVICE#GENERAL	Manager	"We even had a visit from the Manager who wanted to make sure we were enjoying ourselves."
1RESTAURANT#PRICES	NULL	"Yes, the prices are high, but I felt it was worth it."
3RESTAURANT#GENERAL	NULL	"We all felt it was worth it."
3FOOD#QUALITY	food	"sometimes i get good food and ok service."
1FOOD#QUALITY	food	"sometimes i get bad food and bad service, sometimes i get good good and bad service."
1RESTAURANT#GENERAL	NULL	"it is not consistent."
3FOOD#STYLE_OPTIONS	dishes	"The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere."
3RESTAURANT#GENERAL	Patis	"And where does Patis go wrong; no where. "
3FOOD#STYLE_OPTIONS	NULL	"You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff."
3RESTAURANT#GENERAL	Pastis	"And evaluated on those terms Pastis is simply wonderful."
3FOOD#QUALITY	pizza	"Right off the L in Brooklyn this is a nice cozy place with good pizza."
1FOOD#QUALITY	raddichio	"Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though)."
3FOOD#QUALITY	mushroom pizza	"My friend got the mushroom pizza which tasted better."
3DRINKS#QUALITY	sangria	"The sangria was pretty tasty and good on a hot muggy day."
